graine,score
1,-137.8
2,-226.7
3,-163.7
4,-205.3
5,-226.8
6,-225.7
7,-226.8
8,-44.7
9,-51.8
10,-227.7
11,-227.8
12,-227.7
13,-174.7
14,-223.7
15,-228.8
16,-213.7
17,-108.7
18,-66.8
19,-226.7
20,-81.8
21,-13.7
22,-226.8
23,-179.8
24,-23.8
25,-225.7
26,-174.8
27,-227.8
28,-216.7
29,-207.3
30,-46.8
31,-225.1
32,-38.7
33,-42.8
34,-57.8
35,-72.8
36,-38.8
37,-225.1
38,-225.8
39,-226.8
40,-226.8
41,-224.9
42,-216.8
43,-65.8
44,-226.7
45,-171.8
46,-224.8
47,-225.8
48,-225.8
49,-224.8
50,-45.8
51,-28.8
52,-56.8
53,-202.0
54,-18.8
55,-24.8
56,-226.8
57,-191.8
58,-29.8
59,-216.2
60,-231.8
61,-95.6
62,-48.7
63,-228.8
64,-184.7
65,-108.8
66,-227.7
67,-225.8
68,-105.7
69,-34.8
70,-64.7
71,-225.8
72,-225.8
73,-65.8
74,-107.8
75,-228.7
76,-188.6
77,-49.8
78,-137.8
79,-225.8
80,-224.4
81,-215.5
82,-167.4
83,-18.8
84,-224.8
85,-216.8
86,-48.6
87,-224.8
88,-48.8
89,-225.8
90,-224.8
91,-223.8
92,-64.8
93,-171.8
94,-225.8
95,-225.8
96,-75.8
97,-226.8
98,-163.6
99,-57.8
100,-227.8
