graine,score
1,-137.8
2,-226.7
3,-163.7
4,-205.3
5,-226.8
6,-225.7
7,-226.8
8,-44.7
9,-51.8
10,-227.7
11,-227.8
12,-227.7
13,-174.7
14,-223.7
15,-228.8
16,-213.7
17,-108.7
18,-66.8
19,-226.7
20,-81.8
21,-13.7
22,-226.8
23,-179.8
24,-23.8
25,-225.7
26,-174.8
27,-227.8
28,-216.7
29,-207.3
30,-46.8
31,-225.1
32,-38.7
33,-42.8
34,-57.8
35,-72.8
36,-38.8
37,-225.1
38,-225.8
39,-226.8
40,-226.8
41,-224.9
42,-216.8
43,-65.8
44,-226.7
45,-171.8
46,-224.8
47,-225.8
48,-225.8
49,-224.8
50,-45.8
51,-28.8
52,-56.8
53,-202.0
54,-18.8
55,-24.8
56,-226.8
57,-191.8
58,-29.8
59,-216.2
60,-231.8
61,-95.6
62,-48.7
63,-228.8
64,-184.7
65,-108.8
66,-227.7
67,-225.8
68,-105.7
69,-34.8
70,-64.7
71,-225.8
72,-225.8
73,-65.8
74,-107.8
75,-228.7
76,-188.6
77,-49.8
78,-137.8
79,-225.8
80,-224.4
81,-215.5
82,-167.4
83,-18.8
84,-224.8
85,-216.8
86,-48.6
87,-224.8
88,-48.8
89,-225.8
90,-224.8
91,-223.8
92,-64.8
93,-171.8
94,-225.8
95,-225.8
96,-75.8
97,-226.8
98,-163.6
99,-57.8
100,-227.8
101,-28.5
102,-138.4
103,-192.8
104,-164.4
105,-225.7
106,-67.3
107,-93.3
108,-225.8
109,-225.7
110,-226.6
111,-224.8
112,-226.4
113,-223.9
114,-223.8
115,-75.8
116,-230.8
117,-47.7
118,-212.8
119,-226.8
120,-129.5
121,-108.1
122,-162.8
123,-225.8
124,-80.3
125,-46.8
126,-224.4
127,-63.8
128,-226.8
129,-19.8
130,-27.8
131,-173.8
132,-229.9
133,-224.8
134,-180.8
135,-225.8
136,-174.8
137,-46.8
138,-224.8
139,-226.8
140,-225.8
141,-199.6
142,-64.8
143,-226.8
144,-51.8
145,-43.8
146,-49.7
147,-50.8
148,-227.7
149,-65.7
150,-174.8
151,-226.7
152,-48.8
153,-231.8
154,-225.8
155,-23.7
156,-94.5
157,-47.8
158,-214.8
159,-93.7
160,-215.8
161,-226.8
162,-207.4
163,-212.7
164,-65.8
165,-228.5
166,-53.8
167,-213.8
168,-223.8
169,-224.7
170,-38.7
171,-164.8
172,-28.1
173,-4.8
174,-155.5
175,-224.8
176,-48.7
177,-164.8
178,-106.8
179,-67.2
180,-70.7
181,-225.8
182,-50.8
183,-214.8
184,-224.7
185,-65.4
186,-221.8
187,-28.8
188,-48.5
189,-48.6
190,-191.2
191,-169.7
192,-65.8
193,-211.7
194,-176.9
195,-223.6
196,-78.8
197,-184.8
198,-46.8
199,-135.8
200,-224.7
201,-19.8
202,-212.7
203,-225.2
204,-4.8
205,-224.8
206,-83.8
207,-224.9
208,-203.8
209,-228.8
210,-137.8
211,-113.8
212,-208.7
213,-226.8
214,-55.7
215,-228.8
216,-226.7
217,-226.8
218,-183.8
219,-172.6
220,-227.8
221,-36.2
222,-223.8
223,-42.8
224,-8.7
225,-214.8
226,-225.8
227,-55.8
228,-73.7
229,-211.7
230,-225.5
231,-49.7
232,-225.8
233,-223.8
234,-29.9
235,-174.8
236,-226.7
237,-183.8
238,-225.7
239,-69.8
240,-226.8
241,-223.8
242,-45.8
243,-67.8
244,-47.8
245,-49.8
246,-50.7
247,-226.6
248,-204.8
249,-228.8
250,-213.8
251,-226.7
252,-225.7
253,-91.8
254,-223.8
255,-225.7
256,-200.6
257,-58.7
258,-230.7
259,-223.8
260,-224.8
261,-225.8
262,-203.7
263,-223.7
264,-211.7
265,-224.8
266,-57.7
267,-215.8
268,-66.8
269,-225.8
270,-223.8
271,-93.8
272,-196.8
273,-225.7
274,-47.8
275,-214.7
276,-29.8
277,-225.8
278,-71.8
279,-49.8
280,-50.5
281,-225.8
282,-223.8
283,-179.7
284,-23.7
285,-55.2
286,-226.8
287,-227.8
288,-228.8
289,-226.5
290,-172.4
291,-223.8
