graine,score
1,-13.5
2,-14.7
3,-14.8
4,-13.3
5,-14.2
6,-15.1
7,-14.8
8,-14.0
9,-14.2
10,-15.3
11,-14.9
12,-15.1
13,-15.1
14,-13.5
15,-13.3
16,-15.1
17,-14.3
18,-14.8
19,-15.0
20,-13.5
21,-14.8
22,-13.4
23,-14.0
24,-14.7
25,-16.0
26,-14.2
27,-15.3
28,-15.1
29,-14.1
30,-14.0
31,-15.0
32,-13.4
33,-15.0
34,-15.3
35,-13.4
36,-13.2
37,-15.4
38,-14.0
39,-13.4
40,-14.3
41,-14.4
42,-13.4
43,-15.1
44,-13.8
45,-13.7
46,-15.0
47,-15.0
48,-15.2
49,-13.9
50,-15.0
51,-13.2
52,-15.0
53,-14.9
54,-13.7
55,-15.0
56,-15.1
57,-15.1
58,-13.5
59,-14.0
60,-13.9
61,-15.1
62,-15.1
63,-15.1
64,-14.0
65,-14.2
66,-13.9
67,-15.2
68,-13.5
69,-13.0
70,-15.2
71,-15.1
72,-15.3
73,-15.2
74,-13.7
75,-14.8
76,-13.4
77,-15.2
78,-14.9
79,-15.1
80,-15.2
81,-14.2
82,-14.9
83,-13.6
84,-15.2
85,-15.1
86,-15.0
87,-15.2
88,-13.4
89,-13.7
90,-15.3
91,-15.0
92,-15.0
93,-14.1
94,-15.1
95,-13.7
96,-14.0
97,-15.1
98,-14.0
99,-14.2
100,-13.1
