graine,score
1,-13.5
2,-14.7
3,-14.8
4,-13.3
5,-14.2
6,-15.1
7,-14.8
8,-14.0
9,-14.2
10,-15.3
11,-14.9
12,-15.1
13,-15.1
14,-13.5
15,-13.3
16,-15.1
17,-14.3
18,-14.8
19,-15.0
20,-13.5
21,-14.8
22,-13.4
23,-14.0
24,-14.7
25,-16.0
26,-14.2
27,-15.3
28,-15.1
29,-14.1
30,-14.0
31,-15.0
32,-13.4
33,-15.0
34,-15.3
35,-13.4
36,-13.2
37,-15.4
38,-14.0
39,-13.4
40,-14.3
41,-14.4
42,-13.4
43,-15.1
44,-13.8
45,-13.7
46,-15.0
47,-15.0
48,-15.2
49,-13.9
50,-15.0
51,-13.2
52,-15.0
53,-14.9
54,-13.7
55,-15.0
56,-15.1
57,-15.1
58,-13.5
59,-14.0
60,-13.9
61,-15.1
62,-15.1
63,-15.1
64,-14.0
65,-14.2
66,-13.9
67,-15.2
68,-13.5
69,-13.0
70,-15.2
71,-15.1
72,-15.3
73,-15.2
74,-13.7
75,-14.8
76,-13.4
77,-15.2
78,-14.9
79,-15.1
80,-15.2
81,-14.2
82,-14.9
83,-13.6
84,-15.2
85,-15.1
86,-15.0
87,-15.2
88,-13.4
89,-13.7
90,-15.3
91,-15.0
92,-15.0
93,-14.1
94,-15.1
95,-13.7
96,-14.0
97,-15.1
98,-14.0
99,-14.2
100,-13.1
101,-13.2
102,-14.9
103,-14.9
104,-13.4
105,-13.7
106,-15.3
107,-14.9
108,-13.8
109,-13.5
110,-15.0
111,-14.9
112,-14.0
113,-14.3
114,-13.6
115,-13.8
116,-13.6
117,-13.5
118,-14.0
119,-13.7
120,-13.9
121,-15.2
122,-12.0
123,-13.6
124,-15.2
125,-13.5
126,-15.1
127,-15.4
128,-15.4
129,-13.5
130,-15.3
131,-15.0
132,-13.8
133,-14.1
134,-13.4
135,-12.7
136,-14.2
137,-15.0
138,-15.1
139,-13.9
140,-15.2
141,-15.0
142,-12.7
143,-13.8
144,-15.3
145,-15.2
146,-15.0
147,-13.8
148,-13.2
149,-15.1
150,-15.0
151,-15.3
152,-15.1
153,-15.0
154,-13.5
155,-15.0
156,-13.2
157,-15.3
158,-14.3
159,-14.1
160,-15.1
161,-15.3
162,-14.9
163,-13.2
164,-13.1
165,-14.3
166,-15.2
167,-14.2
168,-15.1
169,-14.1
170,-15.0
171,-13.5
172,-13.0
173,-15.1
174,-15.1
175,-14.7
176,-15.3
177,-14.2
178,-13.5
179,-15.1
180,-13.8
181,-13.2
182,-15.0
183,-15.0
184,-14.2
185,-13.3
186,-14.9
187,-14.0
188,-15.1
189,-13.4
190,-13.3
191,-15.3
192,-13.2
193,-15.3
194,-15.1
195,-13.3
196,-13.2
197,-15.2
198,-15.3
199,-14.9
200,-13.6
201,-13.9
202,-15.1
203,-13.7
204,-15.2
205,-13.4
206,-14.0
207,-14.4
208,-14.1
209,-15.0
210,-14.8
211,-13.2
212,-15.1
213,-13.4
214,-15.3
215,-13.4
216,-13.2
217,-15.2
218,-15.1
219,-15.3
220,-14.8
221,-15.3
222,-13.8
223,-13.8
224,-14.0
225,-15.3
226,-12.7
227,-15.1
228,-14.1
229,-13.6
230,-13.3
231,-13.2
232,-15.1
233,-14.0
234,-15.3
235,-15.0
236,-15.0
237,-15.0
238,-13.8
239,-14.2
240,-13.2
241,-13.7
242,-13.6
243,-15.0
244,-14.4
245,-13.5
246,-14.3
247,-12.5
248,-13.7
249,-13.0
250,-13.2
251,-13.3
252,-13.6
253,-14.0
254,-15.0
255,-13.3
256,-15.3
257,-13.4
258,-13.9
259,-14.0
260,-15.3
261,-13.7
262,-13.9
263,-14.0
264,-13.5
265,-14.9
266,-14.3
267,-15.1
268,-14.9
269,-14.0
270,-13.4
271,-15.1
272,-13.2
273,-15.1
274,-13.4
275,-15.1
276,-13.6
277,-15.0
278,-13.7
279,-15.1
280,-14.3
281,-13.4
282,-14.5
283,-15.1
284,-13.2
285,-15.3
286,-15.1
287,-15.1
288,-15.3
289,-15.3
290,-15.0
291,-13.5
292,-14.4
293,-13.5
294,-14.2
295,-13.2
296,-14.4
297,-14.1
298,-15.0
299,-13.5
300,-15.1
301,-15.0
302,-15.2
303,-14.3
304,-15.3
305,-15.2
306,-13.0
307,-15.2
308,-14.0
309,-13.8
310,-15.1
311,-15.0
312,-14.1
313,-14.0
314,-14.9
315,-14.1
316,-15.1
317,-14.0
318,-15.2
319,-13.2
320,-14.0
321,-14.5
322,-15.1
323,-13.4
324,-15.0
325,-15.1
326,-13.9
327,-14.0
328,-13.8
329,-13.1
330,-15.2
331,-13.4
332,-15.4
333,-15.3
334,-14.8
335,-13.9
336,-15.3
337,-14.5
338,-13.4
339,-15.0
340,-13.9
341,-15.0
342,-15.2
343,-14.9
344,-13.2
345,-13.4
346,-15.1
347,-13.9
348,-12.9
349,-13.9
350,-13.4
351,-12.6
352,-15.2
353,-14.9
354,-14.9
355,-14.9
356,-15.2
357,-15.1
358,-14.7
359,-13.9
360,-13.9
361,-13.2
362,-15.2
363,-15.5
364,-12.4
365,-13.4
366,-15.3
367,-13.9
368,-15.0
369,-15.2
370,-13.9
371,-13.5
372,-15.1
373,-14.9
374,-15.1
375,-15.2
376,-15.1
377,-15.2
378,-14.9
379,-15.0
380,-14.3
381,-13.4
382,-14.0
383,-13.0
384,-13.2
385,-13.2
386,-15.0
387,-14.8
388,-15.2
389,-11.9
390,-14.8
391,-14.6
392,-15.2
393,-13.5
394,-13.7
395,-14.3
396,-15.0
397,-15.0
398,-14.2
399,-14.0
400,-15.2
401,-14.9
402,-15.1
403,-13.3
404,-15.3
405,-14.0
406,-14.9
407,-15.0
408,-13.7
409,-13.6
410,-14.1
411,-15.1
412,-14.8
413,-15.0
414,-13.6
415,-13.8
416,-15.4
417,-15.0
418,-13.8
419,-14.6
420,-13.3
421,-15.3
422,-14.2
423,-14.1
424,-14.8
425,-15.0
426,-13.4
427,-15.0
428,-12.7
429,-12.5
430,-13.9
431,-13.7
432,-14.0
433,-16.2
434,-15.2
435,-15.0
436,-13.2
437,-15.4
438,-14.1
439,-13.2
440,-15.2
441,-13.3
442,-13.1
443,-15.1
444,-13.6
445,-14.0
446,-13.1
447,-13.3
448,-13.4
449,-15.3
450,-15.3
451,-15.1
452,-13.9
453,-13.1
454,-15.0
455,-13.5
456,-14.0
457,-12.1
458,-14.2
459,-15.0
460,-13.8
461,-14.8
462,-13.5
463,-15.1
464,-14.7
465,-13.2
466,-14.8
467,-14.8
468,-11.2
469,-15.2
470,-15.2
471,-13.6
472,-15.1
473,-13.4
474,-15.1
475,-14.0
476,-13.4
477,-15.0
478,-14.9
479,-15.2
480,-15.1
481,-15.2
482,-15.0
483,-13.4
484,-15.1
485,-13.8
486,-13.7
487,-13.9
488,-13.3
489,-14.7
490,-15.2
491,-15.4
492,-15.0
493,-14.3
494,-13.4
495,-14.3
496,-13.4
497,-13.7
498,-13.4
499,-13.9
500,-14.0
501,-12.9
502,-13.4
503,-15.1
504,-14.9
505,-15.2
506,-14.4
507,-15.2
508,-14.9
509,-15.1
510,-15.3
511,-13.3
512,-13.9
513,-15.1
514,-15.3
515,-14.3
516,-14.9
517,-15.2
518,-13.0
519,-14.8
520,-13.5
521,-14.2
522,-13.5
523,-13.3
524,-15.0
525,-15.1
526,-13.2
527,-14.4
528,-13.2
529,-14.0
530,-15.0
531,-15.2
532,-14.0
533,-13.6
534,-13.8
535,-15.0
536,-13.5
537,-15.3
538,-15.0
539,-15.2
540,-14.4
541,-14.9
542,-15.0
543,-13.9
544,-15.5
545,-15.2
546,-13.3
547,-14.8
548,-14.3
549,-14.1
550,-15.2
551,-15.3
552,-13.8
553,-14.2
554,-15.2
555,-13.5
556,-13.9
557,-13.9
558,-13.4
559,-15.2
560,-13.2
561,-15.1
562,-12.6
563,-15.2
564,-15.1
565,-13.7
566,-15.1
567,-13.3
568,-15.2
569,-15.0
570,-14.0
571,-15.3
572,-14.0
573,-13.7
574,-14.3
575,-14.0
576,-15.0
577,-15.0
578,-14.9
579,-13.2
580,-14.9
581,-14.2
582,-14.6
583,-13.5
584,-14.0
585,-15.0
586,-14.2
587,-15.1
588,-13.3
589,-14.9
590,-13.2
591,-15.0
592,-14.8
593,-13.2
594,-15.2
595,-14.3
596,-14.3
597,-14.9
598,-15.0
599,-15.2
600,-15.0
601,-14.0
602,-13.5
603,-13.6
604,-14.7
605,-15.1
606,-13.0
607,-12.9
608,-15.1
609,-14.0
610,-15.1
611,-15.3
612,-15.1
613,-13.2
614,-13.7
615,-13.9
616,-15.4
617,-13.2
618,-15.1
619,-13.3
620,-14.9
621,-13.2
622,-15.2
623,-14.9
624,-13.3
625,-13.5
626,-13.9
627,-13.3
628,-15.3
629,-15.1
630,-14.0
631,-15.0
632,-14.1
633,-13.3
634,-14.8
635,-13.6
636,-15.3
637,-14.1
638,-14.8
639,-15.1
640,-15.0
641,-14.0
642,-15.4
643,-13.2
644,-14.8
645,-14.8
646,-13.3
647,-13.5
648,-14.1
649,-15.2
650,-12.7
651,-14.6
652,-15.0
653,-13.5
654,-15.0
655,-14.1
656,-14.0
657,-14.1
658,-15.3
659,-14.1
660,-15.4
661,-15.0
662,-14.9
663,-14.1
664,-13.5
665,-15.2
666,-14.0
667,-15.3
668,-14.3
669,-14.2
670,-14.6
671,-13.6
672,-15.2
673,-14.9
674,-15.2
675,-13.5
676,-15.4
677,-14.1
678,-13.1
679,-15.3
680,-14.9
681,-14.9
682,-15.3
683,-15.1
684,-13.5
685,-13.1
686,-15.1
687,-13.5
688,-12.9
689,-13.8
690,-14.3
691,-13.9
692,-13.5
693,-15.1
694,-13.4
695,-15.1
696,-15.2
697,-14.2
698,-15.1
699,-14.0
700,-13.5
701,-13.6
702,-15.2
703,-14.2
704,-13.3
705,-15.0
706,-15.1
707,-15.1
708,-14.9
709,-13.0
710,-15.2
711,-15.0
712,-14.3
713,-14.7
714,-13.1
715,-13.7
716,-13.9
717,-15.2
718,-13.8
719,-14.9
720,-13.2
721,-15.0
722,-14.9
723,-13.2
724,-13.9
725,-14.2
726,-14.0
727,-15.3
728,-15.1
729,-14.3
730,-13.8
731,-13.4
732,-13.1
733,-13.0
734,-13.8
735,-14.2
736,-13.2
737,-14.9
738,-13.6
739,-15.1
740,-14.8
741,-15.1
742,-13.9
743,-13.2
744,-14.1
745,-14.2
746,-15.2
747,-14.0
748,-13.5
749,-14.9
750,-14.9
751,-13.9
752,-15.0
753,-14.8
754,-14.1
755,-13.2
756,-13.1
757,-15.0
758,-13.8
759,-15.0
760,-15.4
761,-14.9
762,-15.3
763,-14.9
764,-14.2
765,-14.8
766,-13.5
767,-15.1
768,-13.7
769,-15.1
770,-15.3
771,-13.3
