graine,score
1,-4.8
2,-2.7
3,-3.8
4,-2.8
5,-2.8
6,-2.8
7,-4.7
8,-3.8
9,-3.8
10,-3.7
11,-4.8
12,-3.8
13,-4.7
14,-3.8
15,-3.8
16,-4.8
17,-2.7
18,-3.8
19,-2.8
20,-3.8
21,-7.8
22,-4.8
23,-4.7
24,-4.8
25,-4.8
26,-5.8
27,-3.8
28,-4.7
29,-2.7
30,-4.8
31,-5.8
32,-4.8
33,-2.8
34,-29.8
35,-3.8
36,-7.8
37,-5.8
38,-2.8
39,-3.8
40,-4.8
41,-4.8
42,-2.8
43,-3.8
44,-3.8
45,-4.7
46,-3.8
47,-3.7
48,-2.7
49,-4.8
50,-3.8
51,-3.8
52,-2.7
53,-4.7
54,-4.8
55,-2.7
56,-4.7
57,-2.8
58,-2.7
59,-5.8
60,-4.8
61,-2.8
62,-2.8
63,-2.7
64,-4.7
65,-3.7
66,-2.8
67,-2.8
68,-3.8
69,-4.8
70,-4.7
71,-3.8
72,-2.8
73,-2.8
74,-5.8
75,-3.7
76,-4.8
77,-3.8
78,-2.8
79,-4.8
80,-3.8
81,-8.7
82,-3.8
83,-3.8
84,-2.8
85,-2.8
86,-3.7
87,-2.8
88,-3.8
89,-2.7
90,-3.8
91,-2.8
92,-30.7
93,-3.8
94,-2.8
95,-2.8
96,-2.8
97,-4.8
98,-7.7
99,-2.8
100,-4.8
