action,moyenne,partie_1,partie_2,partie_3,partie_4,partie_5,partie_6,partie_7,partie_8,partie_9,partie_10,partie_11,partie_12,partie_13,partie_14,partie_15,partie_16,partie_17,partie_18,partie_19,partie_20,partie_21,partie_22,partie_23,partie_24,partie_25,partie_26,partie_27,partie_28,partie_29,partie_30,partie_31,partie_32,partie_33,partie_34,partie_35,partie_36,partie_37,partie_38,partie_39,partie_40
0,-140.7,-207.0,-190.0,-183.0,-81.0,-225.0,-93.0,-50.0,-22.0,-214.0,-55.0,-140.0,-276.0,-112.0,-163.0,-89.0,-14.0,0.0,-91.0,-235.0,-160.0,-191.0,-54.0,-250.0,-325.0,-249.0,-8.0,0.0,-38.0,-113.0,-172.0,-103.0,-206.0,-238.0,-250.0,-71.0,-178.0,-111.0,-242.0,-120.0,-110.0
1,-145.7,-162.0,-296.0,-176.0,-154.0,-33.0,-163.0,-27.0,-162.0,0.0,-77.0,-54.0,-178.0,-51.0,-28.0,-241.0,-23.0,-94.0,-60.0,-170.0,-220.0,-141.0,-188.0,-71.0,-25.0,-334.0,-142.0,-201.0,-122.0,-145.0,-297.0,-99.0,-170.0,-161.0,-286.0,-273.0,-94.0,-211.0,-130.0,-242.0,-127.0
2,-158.1,-74.0,-237.0,-247.0,-282.0,-78.0,-151.0,0.0,-16.0,-207.0,-215.0,-96.0,-241.0,-174.0,-88.0,-326.0,-11.0,-305.0,-222.0,-111.0,-93.0,-8.0,-117.0,-303.0,-92.0,-281.0,-260.0,-46.0,-326.0,-175.0,-269.0,-41.0,-54.0,-178.0,-128.0,-265.0,-275.0,-27.0,-38.0,-192.0,-74.0
3,-157.1,-225.0,-131.0,-139.0,-180.0,-40.0,-135.0,-55.0,-181.0,0.0,-109.0,-137.0,-274.0,-221.0,-349.0,-55.0,-139.0,-138.0,-331.0,-161.0,-136.0,-143.0,-148.0,-142.0,-191.0,-201.0,-60.0,-131.0,-197.0,-35.0,-222.0,-78.0,-285.0,-90.0,-251.0,-267.0,-276.0,0.0,-78.0,-256.0,-95.0
4,-133.2,-233.0,-44.0,-188.0,-202.0,-165.0,-140.0,-278.0,-57.0,-192.0,0.0,-55.0,-236.0,0.0,-15.0,-92.0,0.0,-134.0,-171.0,-314.0,-215.0,-74.0,-185.0,-111.0,-54.0,-120.0,-25.0,-23.0,-62.0,0.0,-30.0,-164.0,-238.0,0.0,-157.0,0.0,-336.0,-286.0,-286.0,-223.0,-223.0
5,-135.3,-41.0,0.0,-37.0,-239.0,-307.0,-85.0,-69.0,-140.0,-51.0,-300.0,-98.0,-204.0,-95.0,-191.0,-106.0,-45.0,-84.0,-149.0,-245.0,-190.0,-187.0,-125.0,-168.0,-30.0,-250.0,-129.0,-126.0,-207.0,-273.0,0.0,-215.0,0.0,-212.0,-56.0,-154.0,-7.0,-56.0,-25.0,-267.0,-248.0
6,-182.3,-267.0,-218.0,-103.0,-94.0,-240.0,-282.0,-143.0,-231.0,-249.0,-292.0,-128.0,-83.0,-136.0,-147.0,-279.0,-4.0,0.0,-86.0,-75.0,-264.0,-180.0,-194.0,-337.0,-207.0,-78.0,-197.0,-147.0,0.0,-332.0,-145.0,-181.0,-179.0,-249.0,-152.0,-168.0,-247.0,-310.0,-331.0,-140.0,-198.0
7,-136.9,-155.0,-252.0,-279.0,-122.0,-210.0,-290.0,-159.0,-64.0,0.0,0.0,-258.0,-175.0,-40.0,-15.0,-155.0,-99.0,-18.0,-137.0,-249.0,-254.0,-291.0,-20.0,-237.0,-125.0,-9.0,-4.0,-79.0,-46.0,-135.0,-255.0,-181.0,-152.0,-53.0,-167.0,-8.0,-60.0,-105.0,-248.0,-264.0,-107.0
8,-163.5,-169.0,-148.0,-191.0,-68.0,-46.0,-318.0,-316.0,-206.0,-170.0,-180.0,-227.0,-196.0,-90.0,0.0,-144.0,-186.0,-14.0,-94.0,-180.0,-106.0,-33.0,-123.0,-154.0,-126.0,-88.0,-115.0,-320.0,-274.0,-10.0,-171.0,-180.0,-204.0,-153.0,-137.0,-263.0,-204.0,-259.0,-225.0,-233.0,-219.0
9,-147.8,-184.0,-63.0,-143.0,-29.0,-346.0,-220.0,-122.0,-96.0,-9.0,-144.0,-159.0,-143.0,-167.0,-43.0,-99.0,-295.0,-150.0,-35.0,-57.0,-221.0,-199.0,-36.0,-236.0,-133.0,-56.0,-72.0,-149.0,-192.0,-263.0,-80.0,-206.0,-156.0,-328.0,-51.0,-220.0,-73.0,-105.0,-227.0,-253.0,-150.0
10,-165.3,-252.0,-345.0,-81.0,-76.0,-121.0,-42.0,-40.0,-46.0,-180.0,-247.0,-44.0,-215.0,-358.0,-140.0,-51.0,-261.0,-38.0,-308.0,-125.0,-168.0,-296.0,-386.0,-94.0,-230.0,-94.0,-226.0,-298.0,-262.0,-232.0,-47.0,-171.0,-101.0,-56.0,-151.0,-228.0,-260.0,-250.0,-21.0,-19.0,-51.0
11,-160.1,-83.0,-85.0,-185.0,-242.0,-289.0,-154.0,-234.0,-165.0,-232.0,-110.0,-255.0,-206.0,-203.0,-205.0,-176.0,-150.0,-82.0,0.0,-67.0,-246.0,-186.0,-268.0,-13.0,0.0,-133.0,0.0,-171.0,-237.0,-305.0,-53.0,-254.0,-87.0,-72.0,-147.0,-223.0,-20.0,-296.0,-91.0,-115.0,-363.0
12,-126.2,-106.0,-187.0,-233.0,-50.0,-332.0,-52.0,-192.0,-26.0,-89.0,0.0,-111.0,-55.0,-274.0,-19.0,-138.0,-18.0,-90.0,-135.0,-197.0,-225.0,-28.0,-279.0,-123.0,0.0,-46.0,-60.0,0.0,-65.0,-258.0,-210.0,-112.0,-206.0,-23.0,-155.0,-302.0,-238.0,-57.0,-262.0,-97.0,0.0
13,-115.5,-40.0,-111.0,-146.0,-56.0,-125.0,-264.0,-108.0,-45.0,-286.0,-40.0,-47.0,-81.0,-73.0,-159.0,0.0,-213.0,-49.0,-74.0,-232.0,0.0,-24.0,-148.0,-81.0,-109.0,-219.0,-278.0,-106.0,-195.0,-18.0,-185.0,-177.0,-62.0,-264.0,-13.0,-120.0,0.0,-84.0,-266.0,-17.0,-106.0
14,-134.3,-53.0,-172.0,-150.0,-75.0,-180.0,-119.0,-54.0,-61.0,-181.0,-87.0,-211.0,-201.0,0.0,-54.0,-263.0,-141.0,-137.0,-158.0,-297.0,-171.0,-304.0,-98.0,-273.0,-16.0,-338.0,-4.0,-18.0,-64.0,-57.0,-18.0,-227.0,-226.0,-74.0,-78.0,-252.0,-230.0,-7.0,-143.0,-88.0,-92.0
15,-158.5,-225.0,-12.0,-76.0,-269.0,-105.0,-186.0,-103.0,-152.0,-139.0,-241.0,-199.0,-291.0,-19.0,-209.0,-154.0,-176.0,-164.0,-191.0,-101.0,-111.0,-268.0,-162.0,-328.0,-144.0,-144.0,-79.0,-88.0,-181.0,-116.0,-193.0,-70.0,0.0,-211.0,-194.0,-108.0,-61.0,-198.0,-310.0,-153.0,-209.0
16,-137.9,-50.0,-75.0,-127.0,-182.0,-266.0,-235.0,-33.0,-8.0,0.0,-7.0,-159.0,-177.0,-158.0,-202.0,-214.0,-246.0,-158.0,-196.0,-242.0,0.0,-323.0,-54.0,-113.0,-133.0,-51.0,-157.0,-199.0,-186.0,0.0,-156.0,-239.0,-243.0,-64.0,-210.0,-116.0,-358.0,-60.0,-47.0,0.0,-71.0
17,-145.3,-24.0,-234.0,-135.0,-106.0,-211.0,-163.0,-12.0,-90.0,-264.0,-148.0,-57.0,-305.0,-257.0,0.0,-80.0,-89.0,-262.0,-96.0,-103.0,-56.0,-173.0,0.0,-108.0,-165.0,-78.0,-100.0,-108.0,-238.0,-127.0,-178.0,-187.0,-135.0,-78.0,-277.0,-323.0,-199.0,-6.0,-253.0,-94.0,-295.0
18,-154.4,-13.0,-164.0,-171.0,0.0,-168.0,-195.0,-220.0,-123.0,-151.0,-252.0,-130.0,0.0,-173.0,-128.0,-230.0,-108.0,-180.0,-219.0,-162.0,-109.0,-285.0,-99.0,-49.0,-265.0,-139.0,-202.0,-19.0,-237.0,-73.0,-324.0,-171.0,-261.0,-118.0,-107.0,-88.0,-185.0,-180.0,-32.0,-152.0,-295.0
19,-143.6,-176.0,-245.0,-91.0,-64.0,-280.0,-265.0,-262.0,-24.0,-143.0,-252.0,-38.0,-102.0,-118.0,-273.0,-74.0,-79.0,-166.0,-134.0,-188.0,-116.0,-35.0,-44.0,-143.0,-90.0,-232.0,-71.0,-24.0,-215.0,-152.0,-72.0,-124.0,-164.0,-69.0,-269.0,-98.0,-143.0,-276.0,-216.0,-47.0,-168.0
20,-137.5,-18.0,-129.0,-31.0,-168.0,-330.0,-31.0,-8.0,-51.0,-143.0,-116.0,-25.0,-160.0,-361.0,-133.0,-260.0,-86.0,-54.0,-21.0,-311.0,-118.0,-1.0,-56.0,-172.0,-216.0,-231.0,-68.0,-145.0,-183.0,-1.0,-341.0,-17.0,-188.0,-175.0,-169.0,-197.0,-186.0,-342.0,-169.0,-1.0,-87.0
21,-143.6,-195.0,-250.0,-82.0,-136.0,-214.0,-147.0,-202.0,-110.0,-215.0,-14.0,-307.0,-167.0,-45.0,-207.0,-232.0,-137.0,-125.0,-194.0,-190.0,-90.0,-6.0,-147.0,-241.0,-14.0,-201.0,-67.0,-186.0,-180.0,-92.0,-259.0,-172.0,-51.0,-1.0,-25.0,-109.0,-316.0,-42.0,-161.0,-123.0,-92.0
22,-163.1,-230.0,-294.0,-280.0,-143.0,-237.0,-160.0,-214.0,-295.0,-149.0,-100.0,-339.0,-27.0,-205.0,-270.0,-118.0,-151.0,-304.0,-322.0,-24.0,-45.0,-103.0,-65.0,-191.0,-294.0,-140.0,-36.0,-10.0,-217.0,-10.0,-30.0,-242.0,-290.0,-167.0,-221.0,-62.0,-242.0,-77.0,-162.0,-53.0,-4.0
23,-157.8,-107.0,-20.0,-50.0,-39.0,-172.0,-237.0,-84.0,-97.0,-165.0,-79.0,-55.0,-242.0,-179.0,-207.0,-86.0,-8.0,-52.0,-332.0,-322.0,-37.0,-163.0,-166.0,-249.0,-116.0,-335.0,-176.0,-294.0,-45.0,-73.0,-130.0,-102.0,-42.0,-355.0,-341.0,-188.0,-250.0,-82.0,-240.0,-220.0,-173.0
24,-167.2,-179.0,-202.0,-171.0,-107.0,-174.0,-165.0,-169.0,-302.0,-221.0,-123.0,-208.0,-147.0,-139.0,-314.0,-287.0,-171.0,-224.0,-217.0,-174.0,-61.0,-257.0,-180.0,-255.0,-7.0,-2.0,-44.0,-95.0,-292.0,-164.0,-53.0,-284.0,-199.0,-219.0,-75.0,-3.0,-291.0,-97.0,-145.0,-29.0,-244.0
25,-137.6,-141.0,-99.0,-321.0,-114.0,-159.0,-177.0,-56.0,-294.0,-202.0,-284.0,-10.0,-266.0,-139.0,-316.0,0.0,-152.0,-123.0,-131.0,-34.0,-300.0,-158.0,-147.0,-24.0,-64.0,-195.0,-18.0,-60.0,-326.0,-138.0,-149.0,-24.0,-214.0,-87.0,-19.0,-104.0,-96.0,-3.0,-270.0,-13.0,-75.0
26,-152.8,0.0,-186.0,-2.0,-244.0,-58.0,-33.0,-58.0,-26.0,-232.0,-255.0,-251.0,-18.0,-1.0,-136.0,-229.0,-201.0,-196.0,-177.0,-171.0,-236.0,-252.0,-3.0,-118.0,-177.0,-283.0,-81.0,-166.0,-137.0,-189.0,-167.0,-198.0,-3.0,-206.0,-263.0,-154.0,-201.0,-118.0,-373.0,-178.0,-133.0
27,-146.0,-194.0,-201.0,-48.0,-196.0,-247.0,-232.0,-128.0,-278.0,-14.0,-106.0,-223.0,-265.0,-210.0,-76.0,-147.0,-345.0,-206.0,0.0,-12.0,-133.0,-163.0,-223.0,-70.0,-69.0,-251.0,-64.0,-172.0,-150.0,-91.0,-136.0,-276.0,-162.0,-111.0,-171.0,-1.0,-30.0,-231.0,-28.0,-176.0,-3.0
28,-166.1,-158.0,-12.0,-212.0,-40.0,-133.0,-126.0,-179.0,-181.0,-239.0,-195.0,-172.0,-3.0,-208.0,-119.0,-156.0,-137.0,-269.0,-250.0,-250.0,-8.0,-11.0,-336.0,-56.0,-127.0,-376.0,-205.0,-1.0,-9.0,-22.0,-292.0,-275.0,-229.0,-307.0,-84.0,-145.0,-301.0,-117.0,-253.0,-301.0,-149.0
29,-167.6,-45.0,-252.0,-119.0,-179.0,-122.0,-116.0,-56.0,-290.0,-259.0,-285.0,-231.0,-63.0,-95.0,-223.0,-299.0,-94.0,-345.0,-154.0,-196.0,-234.0,-30.0,-158.0,-76.0,-146.0,-132.0,-236.0,-57.0,-91.0,-121.0,-326.0,-138.0,-216.0,-80.0,-80.0,-241.0,-224.0,-156.0,-2.0,-307.0,-230.0
30,-143.7,-92.0,-38.0,-285.0,-107.0,-15.0,-106.0,-8.0,-155.0,-188.0,-162.0,-288.0,-130.0,-7.0,-135.0,-281.0,-44.0,-137.0,-109.0,-252.0,-56.0,-78.0,-80.0,-290.0,-86.0,-256.0,-57.0,-276.0,-332.0,-90.0,-56.0,-172.0,-118.0,-214.0,-68.0,-220.0,-32.0,-296.0,-160.0,-59.0,-212.0
31,-152.2,-28.0,-200.0,-43.0,-264.0,-17.0,-100.0,-288.0,-291.0,-148.0,-273.0,-233.0,-256.0,-26.0,-212.0,-138.0,-95.0,-37.0,-230.0,-336.0,-82.0,-278.0,-243.0,-136.0,-180.0,-52.0,-234.0,-293.0,-8.0,-49.0,-160.0,-46.0,-65.0,-118.0,-192.0,-173.0,-146.0,0.0,-165.0,-144.0,-110.0
32,-190.0,-53.0,-195.0,-298.0,-291.0,-44.0,-266.0,-234.0,-199.0,-146.0,-62.0,-211.0,-123.0,-163.0,-49.0,-265.0,-207.0,-6.0,-220.0,-51.0,-202.0,-311.0,-131.0,-321.0,-261.0,-109.0,-180.0,-88.0,-336.0,-266.0,-262.0,-329.0,0.0,-69.0,-297.0,-282.0,-178.0,-141.0,-300.0,-182.0,-272.0
33,-151.7,-252.0,-70.0,-92.0,-159.0,-92.0,-340.0,-85.0,-1.0,-100.0,-158.0,-120.0,-132.0,-275.0,-79.0,-145.0,-158.0,-1.0,-281.0,-278.0,-371.0,-235.0,-52.0,-68.0,-142.0,-120.0,-87.0,-220.0,-13.0,-298.0,-208.0,-205.0,-288.0,-29.0,-256.0,-130.0,-84.0,-123.0,-214.0,-106.0,-2.0
34,-171.1,-289.0,-62.0,-285.0,-91.0,-290.0,-242.0,-252.0,-142.0,-181.0,-33.0,-279.0,-307.0,-220.0,-172.0,-275.0,-257.0,-218.0,-92.0,-4.0,-57.0,-180.0,-151.0,-324.0,0.0,-329.0,-33.0,-47.0,-35.0,-131.0,-16.0,-257.0,-281.0,-214.0,-240.0,-121.0,-7.0,-134.0,-268.0,-94.0,-232.0
