graine,score
1,-222.0
2,-353.0
3,-203.0
4,-256.0
5,-75.0
6,-200.0
7,-114.0
8,-101.0
9,-2.0
10,-102.0
11,-233.0
12,-132.0
13,-239.0
14,-28.0
15,-157.0
16,-179.0
17,-178.0
18,-376.0
19,-185.0
20,-48.0
21,-130.0
22,-86.0
23,-81.0
24,-290.0
25,-31.0
26,-343.0
27,-241.0
28,-339.0
29,-37.0
30,-85.0
31,-129.0
32,-381.0
33,-287.0
34,-256.0
35,-210.0
36,-23.0
37,-341.0
38,-131.0
39,-295.0
40,-130.0
41,-266.0
42,-243.0
43,-244.0
44,-186.0
45,-328.0
46,-201.0
47,-165.0
48,-204.0
49,-231.0
50,-137.0
51,-163.0
52,-329.0
53,-116.0
54,-58.0
55,-145.0
56,-296.0
57,-214.0
58,-194.0
59,-323.0
60,-232.0
61,-28.0
62,-336.0
63,-344.0
64,-292.0
65,-254.0
66,-76.0
67,-150.0
68,-333.0
69,-149.0
70,-286.0
71,-374.0
72,-90.0
73,-221.0
74,-219.0
75,-346.0
76,-222.0
77,-137.0
78,-389.0
79,-28.0
80,-112.0
81,-112.0
82,-169.0
83,-267.0
84,-338.0
85,-330.0
86,-210.0
87,-196.0
88,-46.0
89,-26.0
90,-220.0
91,-355.0
92,-344.0
93,-314.0
94,-252.0
95,-290.0
96,-381.0
97,-234.0
98,-231.0
99,-378.0
100,-296.0
