graine,score,invalides
1,-393.0,0
2,-221.0,0
3,-372.0,0
4,-360.0,0
5,-166.0,0
6,-244.0,0
7,-131.0,0
8,-93.0,0
9,-297.0,0
10,-305.0,0
11,-323.0,0
12,-234.0,0
13,-297.0,0
14,-321.0,0
15,-300.0,0
16,-135.0,0
17,-128.0,0
18,-157.0,0
19,-222.0,0
20,-202.0,0
21,-187.0,0
22,-71.0,0
23,-153.0,0
24,-352.0,0
25,-117.0,0
26,-299.0,0
27,-56.0,0
28,-252.0,0
29,-292.0,0
30,-265.0,0
31,-165.0,0
32,-330.0,0
33,-395.0,0
34,-301.0,0
35,-183.0,0
36,-37.0,0
37,-146.0,0
38,-207.0,0
39,-476.0,0
40,-18.0,0
41,-146.0,0
42,-22.0,0
43,-212.0,0
44,-88.0,0
45,-385.0,0
46,-102.0,0
47,-381.0,0
48,-178.0,0
49,-89.0,0
50,-279.0,0
51,-226.0,0
52,-202.0,0
53,-219.0,0
54,-283.0,0
55,-66.0,0
56,-348.0,0
57,-134.0,0
58,-270.0,0
59,-314.0,0
60,-163.0,0
61,-37.0,0
62,-263.0,0
63,-363.0,0
64,-236.0,0
65,-116.0,0
66,-283.0,0
67,-261.0,0
68,-184.0,0
69,-18.0,0
70,-80.0,0
71,-392.0,0
72,-186.0,0
73,-195.0,0
74,-204.0,0
75,-213.0,0
76,-251.0,0
77,-257.0,0
78,-334.0,0
79,-270.0,0
80,-70.0,0
81,-133.0,0
82,-181.0,0
83,-212.0,0
84,-352.0,0
85,-216.0,0
86,-102.0,0
87,-201.0,0
88,-35.0,0
89,-241.0,0
90,-335.0,0
91,-328.0,0
92,-226.0,0
93,-361.0,0
94,-57.0,0
95,-221.0,0
96,-249.0,0
97,-161.0,0
98,-68.0,0
99,-183.0,0
100,-178.0,0
