graine,score
1,-94.0
2,-244.0
3,-379.0
4,-295.0
5,-23.0
6,-256.0
7,-31.0
8,-40.0
9,-193.0
10,-53.0
11,-297.0
12,-45.0
13,-227.0
14,-54.0
15,-159.0
16,-143.0
17,-78.0
18,-379.0
19,-141.0
20,0.0
21,-227.0
22,-434.0
23,-167.0
24,-297.0
25,-65.0
26,-326.0
27,-133.0
28,-324.0
29,-142.0
30,-75.0
31,-95.0
32,-386.0
33,-234.0
34,-308.0
35,-323.0
36,-135.0
37,-285.0
38,-157.0
39,-367.0
40,-57.0
41,-272.0
42,-110.0
43,-117.0
44,-257.0
45,-406.0
46,-336.0
47,-13.0
48,-168.0
49,-279.0
50,-245.0
51,-389.0
52,-362.0
53,-425.0
54,-135.0
55,-196.0
56,-257.0
57,-110.0
58,-2.0
59,-347.0
60,-115.0
61,-252.0
62,-225.0
63,-228.0
64,-246.0
65,-129.0
66,-171.0
67,-124.0
68,-381.0
69,-5.0
70,-93.0
71,-348.0
72,-169.0
73,-199.0
74,-257.0
75,-129.0
76,-268.0
77,-17.0
78,-290.0
79,-267.0
80,-125.0
81,-62.0
82,-338.0
83,-106.0
84,-379.0
85,-289.0
86,-151.0
87,-189.0
88,-94.0
89,-118.0
90,-10.0
91,-138.0
92,-159.0
93,-246.0
94,-98.0
95,-330.0
96,-169.0
97,-251.0
98,-118.0
99,-95.0
100,-287.0
