graine,score
1,-56.8
2,-57.8
3,-56.7
4,-56.8
5,-56.8
6,-56.8
7,-57.8
8,-55.6
9,-57.8
10,-57.7
11,-56.7
12,-55.7
13,-57.8
14,-59.7
15,-57.8
16,-57.7
17,-57.8
18,-57.8
19,-56.8
20,-56.8
21,-56.8
22,-57.8
23,-57.8
24,-57.7
25,-58.8
26,-56.8
27,-56.8
28,-57.8
29,-56.8
30,-57.8
31,-56.7
32,-57.8
33,-56.8
34,-56.8
35,-56.8
36,-57.8
37,-56.8
38,-58.8
39,-58.8
40,-56.8
41,-56.8
42,-56.8
43,-56.8
44,-58.7
45,-57.7
46,-56.8
47,-56.7
48,-57.8
49,-56.8
50,-55.7
51,-56.8
52,-57.8
53,-56.8
54,-57.7
55,-57.8
56,-57.8
57,-56.8
58,-57.8
59,-56.8
60,-57.8
61,-56.8
62,-56.7
63,-56.8
64,-57.8
65,-57.8
66,-56.8
67,-56.8
68,-58.7
69,-57.8
70,-56.8
71,-56.8
72,-56.8
73,-56.8
74,-56.8
75,-57.8
76,-57.7
77,-57.8
78,-57.8
79,-56.8
80,-57.8
81,-57.8
82,-57.8
83,-57.8
84,-56.8
85,-57.8
86,-57.7
87,-57.8
88,-58.8
89,-57.8
90,-57.8
91,-56.8
92,-56.8
93,-57.8
94,-57.8
95,-56.8
96,-56.8
97,-58.8
98,-56.7
99,-57.8
100,-57.8
101,-56.8
102,-57.8
103,-56.8
104,-58.8
105,-56.7
106,-58.8
107,-56.7
108,-56.8
109,-56.8
110,-57.8
111,-57.8
112,-56.8
113,-56.8
114,-56.8
115,-56.8
116,-57.8
117,-56.7
118,-59.8
119,-56.8
120,-57.7
121,-56.8
122,-56.8
123,-57.8
124,-58.8
125,-57.8
126,-56.8
127,-56.8
128,-57.8
129,-56.8
130,-57.8
131,-54.8
132,-56.8
133,-56.7
134,-56.8
135,-57.8
136,-52.8
137,-56.7
138,-56.8
139,-56.8
140,-56.7
141,-57.8
142,-57.7
143,-57.8
144,-57.8
145,-57.8
146,-58.8
147,-56.8
148,-56.7
149,-56.8
150,-56.7
151,-56.7
152,-56.8
153,-57.7
154,-56.8
155,-57.7
156,-57.7
157,-60.8
158,-52.8
