graine,score
1,-62.3
2,-57.7
3,-56.0
4,-53.6
5,-56.4
6,-59.8
7,-52.1
8,-54.2
9,-50.0
10,-56.8
11,-60.6
12,-55.1
13,-65.4
14,-61.0
15,-52.5
16,-48.9
17,-59.5
18,-52.9
19,-60.5
20,-50.6
21,-55.2
22,-55.8
23,-49.2
24,-52.4
25,-67.8
26,-53.2
27,-51.2
28,-54.0
29,-51.9
30,-50.0
31,-52.5
32,-58.2
33,-53.3
34,-60.0
35,-55.4
36,-62.4
37,-57.0
38,-54.0
39,-50.1
40,-54.8
41,-56.0
42,-50.0
43,-57.5
44,-59.6
45,-62.4
46,-52.9
47,-61.9
48,-61.7
49,-53.9
50,-59.6
51,-50.5
52,-60.8
53,-48.3
54,-53.7
55,-59.5
56,-52.4
57,-51.4
58,-52.8
59,-48.3
60,-49.5
61,-53.6
62,-58.3
63,-48.4
64,-58.4
65,-55.9
66,-53.4
67,-55.0
68,-59.9
69,-52.2
70,-66.2
71,-53.0
72,-51.1
73,-52.7
74,-62.4
75,-59.2
76,-54.4
77,-57.0
78,-53.7
79,-56.9
80,-56.2
81,-59.1
82,-51.3
83,-61.0
84,-51.9
85,-52.8
86,-52.1
87,-51.6
88,-61.7
89,-59.8
90,-59.2
91,-54.4
92,-55.3
93,-58.1
94,-52.6
95,-59.8
96,-49.6
97,-57.7
98,-52.1
99,-55.8
100,-53.1
101,-63.8
102,-57.4
103,-47.3
104,-57.3
105,-59.5
106,-51.3
107,-55.0
108,-47.0
109,-57.4
110,-58.8
111,-50.6
112,-50.5
113,-54.4
114,-52.8
115,-49.4
116,-52.3
117,-52.4
118,-53.8
119,-57.4
120,-58.0
121,-61.9
122,-52.3
123,-53.7
124,-52.8
125,-61.9
126,-55.8
127,-59.8
128,-61.9
129,-54.1
130,-51.6
131,-66.8
132,-56.8
133,-51.5
134,-61.5
135,-55.4
136,-58.9
137,-54.7
138,-58.8
139,-52.9
140,-54.9
141,-53.3
142,-65.2
143,-59.9
144,-52.1
145,-52.2
146,-50.4
147,-51.8
148,-56.8
149,-54.1
150,-60.4
151,-62.5
152,-54.5
153,-47.9
154,-62.7
155,-56.0
156,-57.9
157,-52.9
158,-55.4
159,-50.7
160,-51.5
161,-56.1
162,-59.0
163,-49.2
164,-55.1
165,-56.5
166,-56.0
167,-53.7
168,-54.8
169,-48.3
170,-62.0
171,-60.2
172,-50.6
173,-50.0
174,-61.7
175,-50.7
176,-53.0
177,-52.5
178,-52.8
179,-56.1
180,-52.3
181,-58.9
182,-60.2
183,-49.4
184,-51.5
185,-55.8
186,-50.8
187,-51.5
188,-58.2
189,-52.1
190,-58.5
191,-62.3
192,-66.6
193,-58.2
194,-51.7
195,-53.7
196,-62.9
197,-48.3
198,-54.6
199,-55.5
200,-59.3
201,-54.1
202,-63.1
203,-53.1
204,-49.9
205,-56.1
206,-48.2
207,-55.5
208,-52.4
209,-53.8
210,-67.4
211,-65.1
212,-53.5
213,-59.7
214,-49.9
215,-58.6
216,-52.1
217,-53.0
218,-59.2
219,-60.9
220,-59.5
221,-56.9
222,-54.9
223,-49.8
224,-64.0
225,-52.8
226,-52.3
227,-58.5
228,-58.9
229,-55.4
230,-51.3
231,-64.8
232,-52.3
233,-58.7
234,-58.4
235,-61.8
236,-51.8
237,-58.5
238,-57.4
239,-65.0
240,-58.2
241,-54.5
242,-48.8
243,-53.9
244,-62.9
245,-55.4
246,-50.6
247,-55.3
248,-53.2
249,-57.6
250,-56.2
251,-55.0
252,-60.4
253,-64.4
254,-49.2
255,-51.4
256,-53.3
257,-54.2
258,-62.4
259,-54.1
260,-62.4
261,-57.1
262,-55.3
263,-57.3
264,-54.3
265,-53.0
266,-58.6
267,-50.1
268,-65.0
269,-56.0
270,-66.6
271,-53.4
272,-54.1
273,-53.4
274,-57.0
275,-55.6
276,-59.0
277,-63.2
278,-65.6
279,-57.7
280,-66.2
281,-61.6
282,-49.3
283,-53.6
284,-54.9
285,-62.1
286,-54.8
287,-48.9
288,-55.0
289,-57.8
290,-57.0
291,-57.2
292,-52.9
293,-48.1
294,-55.0
295,-60.5
296,-52.0
297,-63.6
298,-51.9
299,-48.2
300,-57.5
301,-53.1
302,-67.1
303,-56.4
304,-52.1
305,-63.2
306,-50.1
307,-53.1
308,-56.8
309,-51.4
310,-55.1
311,-57.3
312,-59.4
313,-59.7
314,-51.1
315,-56.2
316,-62.0
317,-57.4
318,-50.6
319,-50.1
320,-56.9
321,-60.7
322,-56.3
323,-52.0
324,-49.0
325,-61.7
326,-64.4
327,-54.1
328,-60.5
329,-53.9
330,-57.0
331,-53.2
332,-59.6
333,-52.9
334,-61.8
335,-52.4
336,-53.0
337,-48.4
338,-57.5
339,-65.5
340,-53.8
341,-63.5
342,-50.8
343,-63.5
344,-54.2
345,-56.0
346,-49.4
347,-50.1
348,-60.0
349,-65.6
350,-55.1
351,-53.5
352,-63.0
353,-58.4
354,-49.9
355,-61.1
356,-57.5
357,-56.6
358,-52.0
359,-61.3
360,-55.0
361,-64.8
362,-64.4
363,-49.9
364,-56.7
365,-56.9
366,-61.0
367,-54.0
368,-62.7
369,-59.1
370,-61.7
371,-55.3
372,-56.8
373,-56.7
374,-49.3
375,-54.6
376,-57.2
377,-58.3
378,-57.0
379,-53.2
380,-57.8
381,-55.2
382,-57.7
383,-57.6
384,-58.6
385,-57.6
386,-58.9
387,-60.5
388,-60.4
389,-49.5
390,-57.7
391,-54.3
392,-51.1
393,-57.4
394,-66.4
395,-62.6
396,-61.2
397,-49.5
398,-54.5
399,-53.0
400,-52.1
401,-57.2
402,-55.2
403,-50.3
404,-58.9
405,-58.8
406,-59.1
407,-62.5
408,-53.4
409,-55.9
410,-57.7
411,-57.4
412,-63.2
413,-50.0
414,-54.8
415,-51.8
416,-56.9
417,-55.3
418,-52.2
419,-49.0
420,-63.0
421,-58.4
422,-57.7
423,-55.8
424,-53.8
425,-56.4
426,-56.3
427,-62.7
428,-51.0
429,-54.4
430,-54.0
431,-52.0
432,-50.7
433,-58.3
434,-66.3
435,-50.6
436,-56.6
437,-49.9
438,-56.4
439,-54.7
440,-56.8
441,-51.7
442,-57.7
443,-66.0
444,-57.7
445,-65.7
446,-52.7
447,-58.2
448,-57.7
449,-54.2
450,-48.1
451,-48.1
452,-54.2
453,-59.1
454,-59.8
455,-59.0
456,-53.7
457,-53.1
458,-51.5
459,-62.3
460,-57.8
461,-62.7
462,-57.0
463,-55.3
464,-48.9
465,-63.7
466,-48.2
467,-57.2
468,-60.4
469,-48.1
470,-57.1
471,-62.2
472,-56.9
473,-62.4
474,-66.0
475,-54.1
476,-50.9
477,-53.2
478,-51.4
479,-56.1
480,-49.9
481,-52.4
482,-55.4
483,-57.9
484,-51.7
485,-51.5
486,-48.6
487,-55.9
488,-50.3
489,-48.1
490,-56.6
491,-60.4
492,-58.1
493,-61.0
494,-51.6
495,-63.4
496,-56.5
497,-53.9
498,-59.0
499,-53.5
500,-54.8
501,-59.7
502,-53.3
503,-51.3
504,-57.0
505,-49.5
506,-61.3
507,-57.7
508,-58.4
509,-55.0
510,-53.5
511,-51.9
512,-60.1
513,-58.6
514,-48.2
515,-57.5
516,-58.8
517,-55.3
518,-58.6
519,-60.7
520,-48.4
521,-51.1
522,-57.4
523,-65.6
524,-51.4
525,-58.4
526,-49.1
527,-51.7
528,-62.5
529,-59.9
530,-53.9
531,-54.5
532,-52.1
533,-61.9
534,-47.2
535,-56.9
536,-57.4
537,-51.2
538,-57.0
539,-61.8
540,-60.1
541,-65.3
542,-50.2
543,-55.8
544,-56.0
545,-55.1
546,-56.3
547,-58.7
548,-58.9
549,-57.1
550,-60.8
551,-54.5
552,-52.3
553,-58.4
554,-50.0
555,-62.3
556,-57.6
557,-53.9
558,-49.7
559,-57.5
560,-49.5
561,-54.2
562,-56.5
563,-60.7
564,-60.7
565,-54.3
566,-52.4
567,-52.5
568,-49.2
569,-47.9
570,-53.0
571,-48.4
572,-55.4
573,-52.5
574,-59.3
575,-49.8
576,-57.3
577,-55.9
578,-52.6
579,-51.2
580,-58.8
581,-54.1
582,-54.8
583,-55.9
584,-59.8
585,-54.8
586,-62.9
587,-51.8
588,-49.0
589,-49.0
590,-58.6
591,-62.0
592,-59.0
593,-61.8
594,-51.2
595,-66.7
596,-50.9
597,-54.1
598,-54.6
599,-56.3
600,-55.2
601,-55.9
602,-49.4
603,-52.4
604,-59.9
605,-50.7
606,-62.4
607,-54.8
608,-50.3
609,-50.6
610,-51.5
611,-63.3
612,-65.8
613,-53.5
614,-63.2
615,-51.5
616,-53.4
617,-54.5
618,-58.3
619,-51.9
620,-57.2
621,-57.3
622,-53.9
623,-54.5
624,-50.0
625,-51.4
626,-56.6
627,-60.4
628,-54.0
629,-57.9
630,-56.5
631,-53.8
632,-52.3
633,-54.1
634,-60.4
635,-48.1
636,-54.2
637,-50.6
638,-54.7
639,-58.7
640,-58.8
641,-52.1
642,-49.3
643,-62.9
644,-64.6
645,-57.4
646,-53.7
647,-55.3
648,-59.5
649,-48.0
650,-57.6
651,-49.9
652,-58.2
653,-54.8
654,-56.9
655,-58.5
656,-49.3
657,-55.2
658,-52.4
659,-53.4
660,-55.0
661,-53.2
662,-63.5
663,-53.4
664,-58.7
665,-55.8
666,-52.1
667,-57.3
668,-62.1
669,-56.9
670,-60.7
671,-48.5
672,-50.0
673,-50.1
674,-54.2
675,-51.5
676,-57.4
677,-57.1
678,-61.2
679,-50.3
680,-54.9
681,-57.1
682,-56.9
683,-55.3
684,-59.7
685,-65.1
686,-50.0
687,-52.6
688,-56.4
689,-63.0
690,-57.9
691,-51.5
692,-55.0
693,-63.3
694,-51.2
695,-56.3
696,-55.2
697,-64.4
698,-57.4
699,-53.1
700,-52.6
701,-53.2
702,-56.9
703,-53.4
704,-51.9
705,-53.1
706,-56.3
707,-53.7
708,-53.8
709,-52.9
710,-55.1
711,-50.9
712,-60.5
713,-54.1
714,-66.9
715,-61.1
716,-55.6
717,-56.8
718,-52.8
719,-52.2
720,-62.4
721,-50.4
722,-48.2
723,-63.4
724,-59.5
725,-61.2
726,-55.1
727,-56.4
728,-56.0
729,-65.1
730,-62.0
731,-56.0
732,-56.2
733,-55.5
734,-54.2
735,-60.5
736,-49.9
737,-52.4
738,-49.0
739,-52.2
740,-54.8
741,-51.5
742,-52.7
743,-49.6
744,-60.7
745,-51.4
746,-57.5
747,-60.1
748,-54.5
749,-62.0
750,-53.1
751,-59.2
752,-61.3
753,-58.4
754,-52.4
755,-62.7
756,-55.5
757,-60.1
758,-57.2
759,-57.6
760,-50.8
761,-62.6
762,-63.5
763,-59.2
764,-58.5
765,-62.9
766,-51.5
767,-50.4
768,-57.1
769,-56.5
770,-63.4
771,-58.4
772,-49.5
773,-60.0
774,-55.0
775,-54.4
776,-57.2
777,-49.3
778,-58.9
779,-55.3
780,-52.2
781,-57.6
782,-50.7
783,-62.2
784,-54.0
785,-57.7
786,-65.5
787,-48.5
788,-60.0
789,-58.9
790,-51.1
791,-56.1
792,-57.6
793,-62.0
794,-57.8
795,-59.5
796,-58.3
797,-53.6
798,-59.0
799,-53.9
800,-60.5
801,-61.6
802,-59.4
803,-56.4
804,-54.1
805,-54.9
806,-54.7
807,-55.7
808,-60.3
809,-53.8
810,-57.3
811,-61.7
812,-60.1
813,-62.4
814,-60.4
815,-57.8
816,-55.9
817,-54.0
818,-51.1
819,-54.5
820,-56.6
821,-52.0
822,-55.1
823,-56.6
824,-61.9
825,-50.0
826,-52.9
827,-63.2
828,-60.9
829,-59.3
830,-54.7
831,-64.2
832,-57.9
833,-49.5
834,-51.9
835,-53.4
836,-55.8
837,-55.8
838,-50.8
839,-58.5
840,-51.8
841,-56.4
842,-54.5
843,-53.1
844,-56.4
845,-63.7
846,-52.4
847,-55.6
848,-66.2
849,-63.6
850,-63.1
851,-51.4
852,-58.5
853,-54.8
854,-58.1
855,-62.1
856,-63.1
857,-58.7
858,-58.5
859,-53.8
860,-54.2
861,-58.9
862,-63.8
863,-52.3
864,-50.4
865,-56.6
866,-59.5
867,-58.7
868,-51.5
869,-65.5
870,-65.8
871,-56.8
872,-58.6
873,-60.6
874,-56.1
875,-54.0
876,-60.5
877,-60.9
878,-61.2
879,-60.7
880,-49.4
881,-56.0
882,-54.1
883,-56.5
884,-53.9
885,-66.7
886,-59.4
887,-57.7
888,-55.9
889,-61.3
890,-54.5
891,-53.2
892,-61.6
893,-54.0
894,-66.8
895,-56.5
896,-52.1
897,-52.6
898,-61.3
899,-54.1
900,-53.7
901,-53.4
902,-59.8
903,-50.4
904,-58.1
905,-58.9
906,-53.5
907,-59.4
908,-50.8
909,-52.2
910,-49.0
911,-59.8
912,-65.4
913,-51.6
914,-54.8
915,-54.0
916,-50.7
917,-55.5
918,-57.2
919,-51.6
920,-50.9
921,-55.0
922,-53.5
923,-49.5
924,-56.5
925,-54.6
926,-54.0
927,-58.5
928,-52.1
929,-48.5
930,-61.0
931,-54.2
932,-53.2
933,-54.4
934,-54.8
935,-52.6
936,-63.6
937,-49.3
938,-65.2
939,-64.9
940,-50.9
941,-53.2
942,-51.2
943,-53.4
944,-61.9
945,-53.5
946,-61.8
947,-61.2
948,-56.8
949,-54.5
950,-56.0
951,-61.7
952,-60.3
953,-57.9
954,-59.5
955,-52.2
956,-48.4
957,-57.3
958,-63.9
959,-60.4
960,-53.8
961,-50.8
962,-58.4
963,-48.1
964,-49.2
965,-65.1
966,-51.8
967,-50.9
968,-56.9
969,-59.3
970,-53.0
971,-57.0
972,-58.5
973,-57.6
974,-51.6
975,-52.6
976,-54.9
977,-54.3
978,-53.9
979,-52.4
