graine,score
1,-48.8
2,-26.4
3,-26.0
4,-30.9
5,-22.3
6,-35.0
7,-30.8
8,-36.4
9,-33.3
10,-18.1
11,-21.7
12,-24.4
13,-62.6
14,-21.0
15,-26.7
16,-27.3
17,-26.2
18,-25.0
19,-21.6
20,-25.8
21,-44.3
22,-48.6
23,-39.3
24,-22.5
25,-38.9
26,-32.4
27,-33.1
28,-34.8
29,-35.7
30,-31.3
31,-33.9
32,-35.8
33,-24.0
34,-24.2
35,-33.0
36,-31.0
37,-38.2
38,-36.0
39,-36.2
40,-38.0
41,-20.9
42,-24.8
43,-31.4
44,-37.4
45,-25.4
46,-50.1
47,-29.5
48,-32.5
49,-27.8
50,-34.2
51,-32.8
52,-41.9
53,-26.6
54,-63.0
55,-19.9
56,-29.0
57,-33.4
58,-43.0
59,-28.9
60,-85.2
61,-19.2
62,-31.7
63,-62.3
64,-31.6
65,-24.6
66,-71.9
67,-18.2
68,-28.9
69,-36.9
70,-27.0
71,-23.8
72,-61.1
73,-24.0
74,-44.2
75,-41.7
76,-34.4
77,-35.4
78,-115.4
79,-29.9
80,-34.6
81,-39.7
82,-26.4
83,-20.8
84,-26.2
85,-43.0
86,-30.3
87,-29.1
88,-30.9
89,-21.3
90,-45.4
91,-21.2
92,-33.9
93,-41.7
94,-22.0
95,-24.9
96,-37.4
97,-35.3
98,-28.0
99,-37.4
100,-20.0
101,-24.2
102,-32.2
103,-24.7
104,-22.4
105,-26.0
106,-44.2
107,-31.2
108,-45.4
109,-20.4
110,-27.0
111,-28.0
112,-74.2
113,-73.0
114,-96.0
115,-23.5
116,-32.7
117,-25.4
118,-51.8
119,-33.3
120,-32.1
121,-23.6
122,-62.8
123,-32.8
124,-35.7
125,-23.3
126,-13.8
127,-34.7
128,-24.2
129,-20.6
130,-18.5
131,-57.5
132,-27.4
133,-27.5
134,-22.4
135,-20.8
136,-40.3
137,-34.1
138,-39.9
139,-33.9
140,-40.8
141,-26.8
142,-30.4
143,-23.1
144,-31.2
145,-32.2
146,-30.3
147,-24.1
148,-30.6
149,-34.1
150,-34.5
151,-40.8
152,-26.3
153,-40.0
154,-14.7
155,-28.0
156,-30.6
157,-26.9
158,-18.2
159,-31.5
160,-35.8
161,-39.3
162,-26.1
163,-21.5
164,-50.4
165,-23.8
166,-42.4
167,-62.6
168,-42.3
169,-23.4
170,-29.6
171,-33.3
172,-27.5
173,-20.7
174,-31.5
175,-29.1
176,-32.4
177,-22.1
178,-19.8
179,-34.6
180,-43.2
181,-34.1
182,-39.1
183,-27.9
184,-19.1
185,-41.1
186,-21.2
187,-19.3
188,-32.9
189,-29.9
190,-18.9
191,-52.2
192,-32.8
193,-88.3
194,-24.4
