graine,score,invalides
1,-226.8,0
2,-136.8,0
3,-227.8,0
4,-227.8,0
5,-221.3,0
6,-221.3,0
7,-157.3,0
8,-221.3,0
9,-122.3,0
10,-227.8,0
11,-220.3,0
12,-221.3,0
13,-220.3,0
14,-121.3,0
15,-121.4,0
16,-221.2,0
17,-221.3,0
18,-220.2,0
19,-121.3,0
20,-168.8,0
21,-242.3,0
22,-157.6,0
23,-242.3,0
24,-221.3,0
25,-220.3,0
26,-33.3,0
27,-227.8,0
28,-227.7,0
29,-121.4,0
30,-121.4,0
31,-157.2,0
32,-221.3,0
33,-227.8,0
34,-222.2,0
35,-160.2,0
36,-121.4,0
37,-122.4,0
38,-227.8,0
39,-168.6,0
40,-121.4,0
41,-122.4,0
42,-221.3,0
43,-227.8,0
44,-121.4,0
45,-221.3,0
46,-227.8,0
47,-227.7,0
48,-227.8,0
49,-221.3,0
50,-227.8,0
51,-221.3,0
52,-121.4,0
53,-221.3,0
54,-220.2,0
55,-220.2,0
56,-220.2,0
57,-132.8,0
58,-221.3,0
59,-207.3,0
60,-145.7,0
61,-221.3,0
62,-221.3,0
63,-221.3,0
64,-33.8,0
65,-121.4,0
66,-227.7,0
67,-227.8,0
68,-220.8,0
69,-122.4,0
70,-220.2,0
71,-121.4,0
72,-227.8,0
73,-222.3,0
74,-121.4,0
75,-220.2,0
76,-158.2,0
77,-228.8,0
78,-33.3,0
79,-221.2,0
80,-221.7,0
81,-221.8,0
82,-227.7,0
83,-220.8,0
84,-221.2,0
85,-167.8,0
86,-220.2,0
87,-220.2,0
88,-158.2,0
89,-220.3,0
90,-221.3,0
91,-220.3,0
92,-227.8,0
93,-221.3,0
94,-167.8,0
95,-34.3,0
96,-227.7,0
97,-227.8,0
98,-121.3,0
99,-227.8,0
100,-221.3,0
101,-121.4,0
102,-220.3,0
103,-220.2,0
104,-221.3,0
105,-121.4,0
106,-121.3,0
107,-242.3,0
108,-168.8,0
109,-227.8,0
110,-220.3,0
111,-220.3,0
112,-220.3,0
113,-221.2,0
114,-121.4,0
115,-220.7,0
116,-226.7,0
117,-221.3,0
118,-220.3,0
119,-221.3,0
120,-227.8,0
121,-227.7,0
122,-121.4,0
123,-220.3,0
124,-220.3,0
125,-221.3,0
126,-220.3,0
127,-227.8,0
128,-220.8,0
129,-207.2,0
130,-122.3,0
131,-227.8,0
132,-158.3,0
133,-207.3,0
134,-221.3,0
135,-121.3,0
136,-121.4,0
137,-221.3,0
138,-221.2,0
139,-220.2,0
140,-220.8,0
141,-33.8,0
142,-96.6,0
143,-220.3,0
144,-207.3,0
145,-220.3,0
146,-220.3,0
147,-24.3,0
148,-222.3,0
149,-220.8,0
150,-221.3,0
151,-227.8,0
152,-220.3,0
153,-227.7,0
154,-220.2,0
155,-220.2,0
156,-221.3,0
157,-227.7,0
158,-227.8,0
159,-220.8,0
160,-221.2,0
161,-221.3,0
162,-33.3,0
163,-220.8,0
164,-121.4,0
165,-227.7,0
166,-207.3,0
167,-121.3,0
168,-221.3,0
169,-121.3,0
170,-168.7,0
171,-226.8,0
172,-121.4,0
173,-220.3,0
174,-158.7,0
175,-145.5,0
176,-167.7,0
177,-144.3,0
178,-121.4,0
179,-221.2,0
180,-221.3,0
181,-221.3,0
182,-227.8,0
183,-227.8,0
184,-221.3,0
185,-220.3,0
186,-226.8,0
187,-121.3,0
188,-221.2,0
189,-221.2,0
190,-227.8,0
191,-221.2,0
192,-220.8,0
193,-221.3,0
194,-221.3,0
195,-227.8,0
196,-158.3,0
197,-220.3,0
198,-221.2,0
199,-121.4,0
200,-220.3,0
201,-121.4,0
202,-220.3,0
203,-220.3,0
204,-95.8,0
205,-121.4,0
206,-247.7,0
207,-220.3,0
208,-121.3,0
209,-220.3,0
210,-221.3,0
211,-121.3,0
212,-221.3,0
213,-221.3,0
214,-226.7,0
215,-121.4,0
216,-208.3,0
217,-227.8,0
218,-220.3,0
219,-220.3,0
220,-133.8,0
221,-207.3,0
222,-227.8,0
223,-132.8,0
224,-121.3,0
225,-121.4,0
226,-145.6,0
227,-220.3,0
228,-221.3,0
229,-221.3,0
230,-132.8,0
231,-221.2,0
232,-121.4,0
233,-227.7,0
234,-166.8,0
235,-220.3,0
236,-227.8,0
237,-220.2,0
238,-121.4,0
239,-221.3,0
240,-221.3,0
241,-220.3,0
242,-121.3,0
243,-132.8,0
244,-121.4,0
245,-220.3,0
246,-221.3,0
247,-121.4,0
248,-121.3,0
249,-122.4,0
250,-221.3,0
251,-221.2,0
252,-221.3,0
253,-227.8,0
254,-220.3,0
255,-121.4,0
256,-33.8,0
257,-221.3,0
258,-221.2,0
259,-27.4,0
260,-221.3,0
261,-221.3,0
262,-121.4,0
263,-121.4,0
264,-121.3,0
265,-221.3,0
266,-121.4,0
267,-227.8,0
268,-227.8,0
269,-121.4,0
270,-157.3,0
271,-228.7,0
272,-121.4,0
273,-158.2,0
274,-221.3,0
275,-228.8,0
276,-242.3,0
277,-227.8,0
278,-221.3,0
279,-220.3,0
280,-226.8,0
281,-121.4,0
282,-246.8,0
283,-227.8,0
284,-207.3,0
285,-221.3,0
286,-221.3,0
287,-220.3,0
288,-145.5,0
289,-220.2,0
290,-121.3,0
291,-227.8,0
292,-221.2,0
293,-121.3,0
294,-158.3,0
295,-221.3,0
296,-220.2,0
297,-227.8,0
298,-227.7,0
299,-221.3,0
300,-24.4,0
301,-221.3,0
302,-158.3,0
303,-220.3,0
304,-227.7,0
305,-220.3,0
306,-227.8,0
307,-220.2,0
308,-207.3,0
309,-227.8,0
310,-227.8,0
311,-34.3,0
312,-221.3,0
313,-207.2,0
314,-227.8,0
315,-227.8,0
316,-221.3,0
317,-121.4,0
318,-145.7,0
319,-144.3,0
320,-221.2,0
321,-227.7,0
322,-227.8,0
323,-121.4,0
324,-220.2,0
325,-227.8,0
326,-220.3,0
327,-159.3,0
328,-220.3,0
329,-121.4,0
330,-220.3,0
331,-221.3,0
332,-220.2,0
333,-221.3,0
334,-220.2,0
335,-121.4,0
336,-227.8,0
337,-220.3,0
338,-121.4,0
339,-227.8,0
340,-220.3,0
341,-220.3,0
342,-145.6,0
343,-227.8,0
344,-221.3,0
345,-158.3,0
346,-221.3,0
347,-227.8,0
348,-27.3,0
349,-121.4,0
350,-242.3,0
351,-121.4,0
352,-121.4,0
353,-220.3,0
354,-220.2,0
355,-227.7,0
356,-227.7,0
357,-121.3,0
358,-220.3,0
359,-121.4,0
