graine,score,invalides
1,-31.5,0
2,-36.2,0
3,-89.7,0
4,-79.3,0
5,-39.6,0
6,-56.6,0
7,-37.3,0
8,-33.0,0
9,-32.5,0
10,-23.6,0
11,-59.7,0
12,-43.4,0
13,-28.4,0
14,-29.3,0
15,-29.8,0
16,-31.1,0
17,-33.4,0
18,-22.0,0
19,-28.3,0
20,-32.0,0
21,-48.2,0
22,-36.8,0
23,-103.3,0
24,-22.4,0
25,-32.1,0
26,-24.6,0
27,-41.9,0
28,-32.0,0
29,-22.5,0
30,-27.6,0
31,-25.4,0
32,-29.4,0
33,-28.2,0
34,-31.8,0
35,-86.2,0
36,-28.9,0
37,-26.3,0
38,-25.5,0
39,-29.4,0
40,-23.6,0
41,-60.3,0
42,-22.4,0
43,-32.9,0
44,-22.5,0
45,-34.2,0
46,-23.8,0
47,-86.1,0
48,-37.3,0
49,-38.8,0
50,-22.1,0
51,-30.6,0
52,-46.1,0
53,-42.4,0
54,-26.4,0
55,-24.4,0
56,-32.5,0
57,-36.1,0
58,-28.2,0
59,-80.8,0
60,-66.3,0
61,-38.7,0
62,-36.7,0
63,-50.3,0
64,-25.2,0
65,-25.0,0
66,-26.0,0
67,-62.1,0
68,-50.1,0
69,-18.2,0
70,-53.4,0
71,-23.1,0
72,-21.9,0
73,-26.4,0
74,-45.1,0
75,-80.8,0
76,-77.2,0
77,-57.4,0
78,-41.7,0
79,-26.4,0
80,-36.0,0
81,-37.4,0
82,-28.5,0
83,-42.7,0
84,-24.4,0
85,-23.3,0
86,-31.2,0
87,-36.9,0
88,-41.3,0
89,-24.4,0
90,-29.6,0
91,-22.8,0
92,-34.7,0
93,-36.3,0
94,-28.0,0
95,-36.1,0
96,-25.5,0
97,-49.2,0
98,-29.0,0
99,-88.5,0
100,-30.1,0
101,-78.1,0
102,-32.4,0
103,-30.8,0
104,-39.9,0
105,-25.7,0
106,-20.8,0
107,-25.8,0
108,-35.5,0
109,-24.8,0
110,-35.7,0
111,-34.9,0
112,-31.2,0
113,-31.1,0
114,-39.1,0
115,-34.1,0
116,-43.9,0
117,-37.6,0
118,-36.4,0
119,-40.7,0
120,-37.6,0
121,-43.2,0
122,-45.0,0
123,-28.5,0
124,-25.2,0
125,-37.3,0
126,-28.8,0
127,-92.1,0
128,-34.7,0
129,-28.5,0
130,-76.3,0
131,-28.1,0
132,-30.3,0
133,-37.3,0
134,-42.5,0
135,-25.6,0
136,-28.4,0
137,-21.8,0
138,-28.8,0
139,-86.2,0
140,-28.2,0
141,-27.8,0
142,-30.8,0
143,-27.1,0
144,-39.5,0
145,-15.5,0
146,-41.0,0
147,-43.4,0
148,-30.7,0
149,-31.2,0
150,-30.5,0
151,-61.1,0
152,-19.0,0
153,-43.7,0
154,-58.6,0
155,-79.2,0
156,-26.1,0
157,-29.2,0
158,-44.0,0
159,-26.5,0
160,-38.7,0
161,-34.5,0
162,-27.5,0
163,-27.3,0
164,-51.8,0
165,-36.7,0
166,-38.8,0
167,-23.1,0
168,-26.3,0
169,-25.2,0
170,-26.7,0
171,-32.2,0
172,-37.9,0
173,-25.5,0
174,-32.7,0
175,-39.2,0
176,-26.0,0
177,-29.7,0
178,-29.8,0
179,-34.3,0
180,-40.4,0
181,-26.2,0
182,-43.7,0
183,-29.8,0
184,-37.3,0
185,-34.3,0
186,-45.4,0
187,-34.4,0
188,-84.6,0
189,-30.0,0
190,-33.3,0
191,-29.3,0
192,-26.7,0
193,-31.0,0
194,-23.2,0
195,-33.1,0
196,-29.8,0
197,-27.5,0
198,-31.6,0
199,-33.9,0
200,-36.7,0
201,-34.2,0
202,-27.3,0
203,-24.8,0
204,-87.2,0
205,-21.3,0
206,-29.0,0
207,-29.1,0
208,-39.0,0
209,-34.4,0
210,-105.9,0
211,-94.7,0
212,-75.3,0
213,-21.2,0
214,-34.6,0
215,-35.2,0
216,-40.9,0
217,-27.3,0
218,-21.8,0
219,-67.0,0
220,-22.3,0
221,-62.1,0
222,-36.3,0
223,-32.7,0
224,-23.7,0
225,-27.2,0
