graine,score
1,-4.8
2,-2.7
3,-3.8
4,-2.8
5,-2.8
6,-2.8
7,-4.7
8,-3.8
9,-3.8
10,-3.7
11,-4.8
12,-3.8
13,-4.7
14,-3.8
15,-3.8
16,-4.8
17,-2.7
18,-3.8
19,-2.8
20,-3.8
21,-7.8
22,-4.8
23,-4.7
24,-4.8
25,-4.8
26,-5.8
27,-3.8
28,-4.7
29,-2.7
30,-4.8
31,-5.8
32,-4.8
33,-2.8
34,-29.8
35,-3.8
36,-7.8
37,-5.8
38,-2.8
39,-3.8
40,-4.8
41,-4.8
42,-2.8
43,-3.8
44,-3.8
45,-4.7
46,-3.8
47,-3.7
48,-2.7
49,-4.8
50,-3.8
51,-3.8
52,-2.7
53,-4.7
54,-4.8
55,-2.7
56,-4.7
57,-2.8
58,-2.7
59,-5.8
60,-4.8
61,-2.8
62,-2.8
63,-2.7
64,-4.7
65,-3.7
66,-2.8
67,-2.8
68,-3.8
69,-4.8
70,-4.7
71,-3.8
72,-2.8
73,-2.8
74,-5.8
75,-3.7
76,-4.8
77,-3.8
78,-2.8
79,-4.8
80,-3.8
81,-8.7
82,-3.8
83,-3.8
84,-2.8
85,-2.8
86,-3.7
87,-2.8
88,-3.8
89,-2.7
90,-3.8
91,-2.8
92,-30.7
93,-3.8
94,-2.8
95,-2.8
96,-2.8
97,-4.8
98,-7.7
99,-2.8
100,-4.8
101,-2.8
102,-3.7
103,-4.8
104,-3.7
105,-5.8
106,-2.8
107,-3.7
108,-7.8
109,-4.8
110,-2.8
111,-2.7
112,-3.8
113,-3.8
114,-3.8
115,-2.8
116,-2.8
117,-2.8
118,-7.8
119,-4.8
120,-2.8
121,-2.7
122,-5.7
123,-3.8
124,-2.8
125,-4.7
126,-2.8
127,-2.8
128,-2.8
129,-4.8
130,-3.8
131,-3.7
132,-2.8
133,-4.8
134,-4.8
135,-7.8
136,-2.8
137,-8.8
138,-10.8
139,-2.8
140,-5.8
141,-4.8
142,-5.8
143,-3.8
144,-3.7
145,-4.8
146,-2.8
147,-2.8
148,-2.8
149,-2.7
150,-4.8
151,-3.8
152,-3.8
153,-3.7
154,-2.7
155,-4.8
156,-6.8
157,-2.8
158,-7.8
159,-4.6
160,-4.8
161,-2.7
162,-3.7
163,-2.7
164,-2.7
165,-3.8
166,-2.8
167,-6.8
168,-37.8
169,-3.7
170,-3.8
171,-2.8
172,-3.8
173,-2.8
174,-3.7
175,-5.8
176,-3.7
177,-3.8
178,-4.8
179,-3.8
180,-2.8
181,-2.8
182,-4.8
183,-2.8
184,-2.8
185,-4.8
186,-3.8
187,-7.8
188,-3.8
189,-2.8
190,-8.7
191,-2.8
192,-3.7
193,-4.7
194,-2.8
195,-4.8
196,-3.8
197,-2.8
198,-4.8
199,-2.8
200,-4.7
201,-3.7
202,-2.7
203,-4.8
204,-3.8
205,-20.8
206,-3.7
207,-3.8
208,-5.8
209,-4.8
210,-2.8
211,-2.7
212,-2.7
213,-3.8
214,-2.7
215,-4.8
216,-2.8
217,-3.8
