graine,score
1,-7.9
2,-8.0
3,-6.6
4,-7.9
5,-8.6
6,-8.7
7,-6.9
8,-9.2
9,-9.7
10,-11.2
11,-7.0
12,-7.6
13,-7.9
14,-8.8
15,-9.4
16,-11.5
17,-9.1
18,-7.9
19,-9.0
20,-8.6
21,-9.7
22,-8.9
23,-9.1
24,-9.4
25,-6.1
26,-7.2
27,-7.2
28,-10.4
29,-8.3
30,-8.7
31,-10.5
32,-8.0
33,-12.0
34,-7.9
35,-9.3
36,-8.0
37,-7.0
38,-7.2
39,-7.2
40,-9.4
41,-8.6
42,-7.0
43,-8.4
44,-9.5
45,-8.8
46,-9.3
47,-8.7
48,-8.5
49,-9.7
50,-9.5
51,-8.0
52,-8.3
53,-10.5
54,-8.5
55,-7.1
56,-8.0
57,-8.6
58,-9.0
59,-8.9
60,-7.8
61,-8.0
62,-6.9
63,-7.9
64,-9.3
65,-10.8
66,-9.4
67,-7.2
68,-6.8
69,-8.7
70,-7.8
71,-8.8
72,-8.9
73,-8.9
74,-7.3
75,-7.8
76,-7.2
77,-9.2
78,-9.0
79,-10.9
80,-12.9
81,-8.7
82,-7.4
83,-7.0
84,-10.2
85,-7.3
86,-8.4
87,-10.8
88,-5.9
89,-8.5
90,-11.1
91,-19.9
92,-9.1
93,-10.7
94,-9.0
95,-8.4
96,-9.3
97,-9.1
98,-7.8
99,-9.1
100,-19.6
101,-11.4
102,-8.7
103,-7.2
104,-7.0
105,-7.3
106,-9.0
107,-7.9
108,-8.6
109,-7.4
110,-8.4
111,-5.9
112,-8.3
113,-13.3
114,-6.7
115,-6.7
116,-9.3
117,-10.7
118,-6.9
119,-9.0
120,-8.0
121,-8.8
122,-7.5
123,-11.9
124,-12.6
125,-8.7
126,-7.5
127,-8.8
128,-6.7
129,-7.5
130,-6.2
131,-7.4
132,-10.5
133,-9.6
134,-8.6
135,-10.1
136,-9.0
137,-5.8
138,-8.1
139,-9.7
140,-9.4
141,-7.7
142,-9.2
143,-9.0
144,-7.3
145,-9.2
146,-7.6
147,-7.0
148,-8.9
149,-9.4
150,-8.3
151,-8.5
152,-7.2
153,-7.0
154,-21.2
155,-8.8
156,-9.0
157,-7.4
158,-8.3
159,-8.8
160,-7.8
161,-7.8
162,-10.3
163,-9.1
164,-8.8
165,-8.5
166,-8.2
167,-6.9
168,-9.6
169,-8.3
170,-9.0
171,-8.0
172,-8.8
173,-12.1
174,-6.9
175,-8.4
176,-20.1
177,-8.0
178,-9.9
179,-8.9
180,-9.2
181,-7.1
182,-8.7
183,-11.9
184,-9.4
185,-17.5
186,-9.1
187,-8.9
188,-9.8
189,-8.4
190,-8.7
191,-11.7
192,-6.6
193,-8.0
194,-8.5
195,-8.9
196,-8.2
197,-9.8
198,-8.7
199,-9.2
200,-9.2
201,-7.1
202,-9.0
203,-9.5
204,-8.0
205,-6.8
206,-7.9
207,-7.4
208,-9.9
209,-6.9
210,-9.9
211,-11.6
212,-9.3
213,-10.9
214,-8.1
215,-7.5
216,-9.5
217,-8.6
218,-8.8
219,-9.5
220,-6.6
221,-7.9
222,-7.8
223,-6.7
224,-10.2
225,-9.3
226,-8.5
227,-8.5
228,-8.5
229,-9.3
230,-8.9
231,-7.8
232,-7.8
233,-8.2
234,-7.8
235,-7.1
236,-6.8
237,-8.4
238,-7.5
239,-7.4
240,-8.9
241,-7.1
242,-9.2
243,-8.5
244,-7.5
245,-22.6
246,-7.3
247,-7.0
248,-9.2
249,-7.9
250,-9.7
251,-10.1
252,-10.1
253,-9.1
254,-10.1
255,-7.7
256,-13.0
257,-7.3
258,-7.9
259,-9.1
260,-10.4
261,-8.1
262,-8.7
263,-9.2
264,-8.2
265,-9.1
266,-6.6
267,-7.9
268,-8.3
269,-8.9
270,-8.3
271,-9.1
272,-9.5
273,-6.6
274,-16.0
275,-9.4
276,-7.5
277,-9.2
278,-12.2
279,-8.5
280,-9.9
281,-8.7
282,-10.9
283,-7.9
284,-8.6
285,-8.0
286,-5.6
287,-9.3
288,-7.2
289,-9.9
290,-7.7
291,-6.7
292,-6.1
293,-6.8
294,-8.4
295,-7.7
296,-9.4
297,-8.0
298,-9.7
299,-6.5
300,-8.4
301,-8.8
302,-8.4
303,-6.6
304,-9.0
305,-29.4
306,-10.0
307,-6.9
308,-6.4
309,-7.9
310,-10.2
311,-7.3
312,-6.9
313,-8.4
314,-10.8
315,-8.1
316,-8.8
317,-9.1
318,-8.0
319,-8.8
320,-7.3
321,-8.5
322,-7.2
323,-9.2
324,-9.2
325,-8.0
326,-10.1
327,-7.2
328,-8.9
329,-9.8
330,-7.3
331,-9.0
332,-7.6
333,-9.0
334,-7.4
335,-19.0
336,-7.4
337,-9.0
338,-9.2
339,-8.7
340,-16.9
341,-8.7
342,-8.9
343,-8.6
344,-7.8
345,-8.8
346,-9.4
347,-8.2
348,-8.0
349,-7.0
350,-7.1
351,-8.4
352,-7.3
353,-8.2
354,-6.0
355,-8.7
356,-8.8
357,-9.4
358,-7.4
359,-8.3
360,-11.2
361,-6.0
362,-8.8
363,-9.9
364,-7.2
365,-8.0
366,-6.9
367,-7.8
368,-8.3
369,-11.1
370,-11.2
371,-9.3
372,-7.5
373,-9.0
374,-9.4
375,-8.9
376,-7.4
377,-19.4
378,-7.9
379,-10.4
380,-8.6
381,-9.5
382,-9.0
383,-8.9
384,-9.4
385,-8.2
386,-10.0
387,-7.7
388,-9.8
389,-7.4
390,-11.3
391,-10.3
392,-10.1
393,-9.0
394,-9.0
395,-6.3
396,-9.2
397,-7.9
398,-9.8
399,-8.1
400,-6.2
401,-6.6
402,-8.9
403,-9.0
404,-7.6
405,-8.2
406,-10.1
407,-8.4
408,-9.5
409,-6.7
410,-7.3
411,-8.4
412,-7.6
413,-7.0
414,-6.6
415,-9.2
416,-8.1
417,-9.7
418,-8.7
419,-10.5
420,-8.9
421,-8.4
422,-17.3
423,-9.1
424,-7.7
425,-7.2
426,-8.6
427,-8.7
428,-12.8
429,-10.0
430,-9.3
431,-11.0
432,-8.0
433,-9.8
434,-8.3
435,-8.5
436,-7.8
437,-18.0
438,-11.5
439,-10.1
440,-6.9
441,-8.1
442,-7.0
443,-8.5
444,-8.2
445,-9.6
446,-8.4
447,-7.9
448,-9.1
449,-8.5
450,-7.9
451,-8.8
452,-9.3
453,-10.3
454,-9.0
455,-8.9
456,-12.9
457,-9.3
458,-7.4
459,-8.2
460,-7.6
461,-9.1
462,-8.4
463,-7.2
464,-9.6
465,-7.9
466,-8.1
467,-7.8
468,-9.0
469,-8.3
470,-7.3
471,-7.6
472,-12.0
473,-8.8
474,-12.7
475,-8.8
476,-10.2
477,-10.1
478,-8.4
479,-6.6
480,-6.8
481,-8.0
482,-9.1
483,-6.5
484,-8.3
485,-9.5
486,-8.6
487,-8.9
488,-9.2
489,-9.3
490,-7.6
491,-10.2
492,-7.9
493,-8.1
494,-10.5
495,-7.1
496,-6.6
497,-11.2
498,-11.1
499,-8.5
500,-9.0
501,-9.9
502,-8.4
503,-7.7
504,-8.4
505,-7.7
506,-8.3
507,-6.9
508,-6.7
509,-8.1
510,-8.9
511,-8.0
512,-9.3
513,-8.2
514,-10.3
515,-6.7
516,-8.4
517,-9.2
518,-8.7
519,-10.4
520,-8.8
521,-6.8
522,-7.1
523,-9.9
524,-9.6
525,-7.7
526,-7.6
527,-10.2
528,-7.6
529,-13.7
530,-7.6
531,-8.9
532,-9.4
533,-7.0
534,-10.1
535,-7.1
536,-7.8
537,-8.1
538,-6.3
539,-6.7
540,-10.1
541,-9.9
542,-8.5
543,-7.4
544,-7.8
545,-9.4
546,-8.8
547,-8.2
548,-9.7
549,-10.1
550,-7.2
551,-8.2
552,-9.2
553,-9.2
554,-7.3
555,-7.3
556,-8.5
557,-9.3
558,-6.8
559,-9.2
560,-8.4
561,-6.9
562,-10.6
563,-8.7
564,-7.7
565,-9.9
566,-7.3
567,-11.5
568,-6.4
569,-8.5
570,-8.6
571,-9.4
572,-8.0
573,-7.6
574,-7.3
575,-7.7
576,-7.1
577,-9.7
578,-9.1
579,-7.7
580,-9.0
581,-9.8
582,-8.2
583,-10.4
584,-8.9
585,-9.3
586,-9.3
587,-8.5
588,-9.9
589,-8.8
590,-7.9
591,-9.9
592,-7.8
593,-7.7
594,-9.2
595,-9.7
596,-9.8
597,-6.9
598,-7.5
599,-7.1
600,-7.5
601,-8.6
602,-6.9
603,-10.0
604,-6.8
605,-10.1
606,-7.3
607,-13.9
608,-10.6
609,-8.1
610,-8.9
611,-7.3
612,-10.5
613,-10.8
614,-6.7
615,-10.2
616,-8.5
617,-7.6
618,-8.1
619,-10.2
620,-7.4
621,-11.4
622,-8.2
623,-8.7
624,-9.1
625,-8.8
626,-9.2
627,-10.9
628,-6.8
629,-11.1
630,-8.7
631,-11.4
632,-6.2
633,-8.3
634,-8.9
635,-7.0
636,-8.1
637,-8.6
638,-7.8
639,-7.6
640,-8.8
641,-6.6
642,-8.5
643,-7.2
644,-10.0
645,-8.1
646,-7.5
647,-6.9
648,-8.4
649,-7.9
650,-9.3
651,-9.3
652,-5.9
653,-7.7
654,-11.1
655,-9.3
656,-9.3
657,-10.0
658,-6.4
659,-8.0
660,-11.0
661,-8.5
662,-9.5
663,-8.9
664,-9.8
665,-11.0
666,-9.2
667,-8.7
668,-10.1
669,-8.0
670,-8.2
671,-6.8
672,-8.5
673,-10.2
674,-8.1
675,-7.2
676,-7.1
677,-12.2
678,-7.2
679,-8.1
680,-8.8
681,-8.6
682,-8.7
683,-8.1
684,-8.1
685,-9.6
686,-7.1
687,-7.1
688,-8.8
689,-6.8
690,-8.1
691,-9.7
692,-9.9
693,-10.5
694,-6.7
695,-8.6
696,-9.4
697,-10.1
698,-9.9
699,-7.3
700,-7.4
701,-7.2
702,-10.7
703,-6.9
704,-7.9
705,-12.2
706,-8.6
707,-11.2
708,-7.4
