graine,score
1,-342.0
2,-274.0
3,-350.0
4,-186.0
5,0.0
6,-215.0
7,-167.0
8,-132.0
9,-17.0
10,-329.0
11,-367.0
12,-94.0
13,-381.0
14,-41.0
15,-186.0
16,-163.0
17,-56.0
18,-382.0
19,-229.0
20,-139.0
21,-177.0
22,-65.0
23,-122.0
24,-320.0
25,-258.0
26,-278.0
27,-53.0
28,-350.0
29,-115.0
30,-202.0
31,-125.0
32,-369.0
33,-232.0
34,-339.0
35,-330.0
36,-137.0
37,-130.0
38,-179.0
39,-217.0
40,-133.0
41,-108.0
42,-200.0
43,-366.0
44,-12.0
45,-397.0
46,-291.0
47,-261.0
48,-99.0
49,-340.0
50,-219.0
51,-184.0
52,-393.0
53,-279.0
54,-104.0
55,-32.0
56,-338.0
57,-212.0
58,-170.0
59,-229.0
60,-168.0
61,-134.0
62,-338.0
63,-315.0
64,-218.0
65,-243.0
66,-95.0
67,-120.0
68,-259.0
69,-96.0
70,-17.0
71,-380.0
72,-23.0
73,-319.0
74,-118.0
75,-296.0
76,-107.0
77,-163.0
78,-295.0
79,-164.0
80,-175.0
81,-92.0
82,-131.0
83,-192.0
84,-255.0
85,-184.0
86,-249.0
87,-137.0
88,-266.0
89,-24.0
90,-214.0
91,-284.0
92,-125.0
93,-398.0
94,-162.0
95,-198.0
96,-391.0
97,-63.0
98,-347.0
99,-361.0
100,-351.0
101,-67.0
102,-244.0
103,-236.0
104,-67.0
105,-242.0
106,-444.0
107,-18.0
108,-7.0
109,-34.0
110,-429.0
111,-329.0
112,-283.0
113,-175.0
114,0.0
115,-183.0
116,-216.0
117,-310.0
118,-199.0
119,-313.0
120,-203.0
121,-234.0
122,-40.0
123,-13.0
124,-216.0
125,-37.0
126,-231.0
127,-205.0
128,-129.0
129,-193.0
130,-184.0
131,-157.0
132,-274.0
133,0.0
134,-80.0
135,-357.0
136,-38.0
137,-338.0
138,-33.0
139,-103.0
140,-98.0
141,-270.0
142,-133.0
143,-281.0
144,-306.0
145,-297.0
146,-159.0
147,-316.0
148,-109.0
149,-290.0
150,-434.0
151,-467.0
152,-302.0
153,-276.0
154,-195.0
155,-239.0
156,-90.0
157,-139.0
158,-162.0
159,-82.0
160,-280.0
161,-65.0
162,-85.0
163,-20.0
164,-190.0
165,-93.0
166,-335.0
167,-236.0
168,-155.0
169,-11.0
170,-341.0
171,-128.0
172,-360.0
173,-42.0
174,-322.0
175,-296.0
176,-202.0
177,-336.0
178,-42.0
179,-350.0
180,-60.0
181,-311.0
182,-178.0
183,-8.0
184,-234.0
