graine,score
1,-222.0
2,-353.0
3,-203.0
4,-256.0
5,-75.0
6,-200.0
7,-114.0
8,-101.0
9,-2.0
10,-102.0
11,-233.0
12,-132.0
13,-239.0
14,-28.0
15,-157.0
16,-179.0
17,-178.0
18,-376.0
19,-185.0
20,-48.0
21,-130.0
22,-86.0
23,-81.0
24,-290.0
25,-31.0
26,-343.0
27,-241.0
28,-339.0
29,-37.0
30,-85.0
31,-129.0
32,-381.0
33,-287.0
34,-256.0
35,-210.0
36,-23.0
37,-341.0
38,-131.0
39,-295.0
40,-130.0
41,-266.0
42,-243.0
43,-244.0
44,-186.0
45,-328.0
46,-201.0
47,-165.0
48,-204.0
49,-231.0
50,-137.0
51,-163.0
52,-329.0
53,-116.0
54,-58.0
55,-145.0
56,-296.0
57,-214.0
58,-194.0
59,-323.0
60,-232.0
61,-28.0
62,-336.0
63,-344.0
64,-292.0
65,-254.0
66,-76.0
67,-150.0
68,-333.0
69,-149.0
70,-286.0
71,-374.0
72,-90.0
73,-221.0
74,-219.0
75,-346.0
76,-222.0
77,-137.0
78,-389.0
79,-28.0
80,-112.0
81,-112.0
82,-169.0
83,-267.0
84,-338.0
85,-330.0
86,-210.0
87,-196.0
88,-46.0
89,-26.0
90,-220.0
91,-355.0
92,-344.0
93,-314.0
94,-252.0
95,-290.0
96,-381.0
97,-234.0
98,-231.0
99,-378.0
100,-296.0
101,-225.0
102,-285.0
103,-209.0
104,-161.0
105,-288.0
106,-437.0
107,-215.0
108,-124.0
109,-296.0
110,-425.0
111,-271.0
112,-173.0
113,-178.0
114,-317.0
115,-174.0
116,-126.0
117,-198.0
118,-398.0
119,-334.0
120,-274.0
121,-272.0
122,-117.0
123,-62.0
124,-281.0
125,-70.0
126,-159.0
127,-21.0
128,-207.0
129,-277.0
130,-187.0
131,-37.0
132,-239.0
133,-55.0
134,-163.0
135,-343.0
136,-131.0
137,-125.0
138,-62.0
139,-98.0
140,-356.0
141,-367.0
142,-85.0
143,-271.0
144,-390.0
145,-348.0
146,-36.0
147,-152.0
148,-150.0
149,-389.0
150,-434.0
151,-432.0
152,-161.0
153,-237.0
154,-262.0
155,-256.0
156,-192.0
157,-116.0
158,-80.0
159,-26.0
160,-330.0
161,-68.0
162,-161.0
163,-96.0
164,-234.0
165,-55.0
166,-360.0
167,-196.0
168,-203.0
169,-6.0
170,-322.0
171,-132.0
172,-435.0
173,-343.0
174,-287.0
175,-180.0
176,-87.0
177,-273.0
178,-170.0
179,-356.0
180,-62.0
181,-316.0
182,-282.0
183,-139.0
184,-258.0
185,-82.0
186,-328.0
187,-360.0
188,-334.0
189,-367.0
190,-184.0
191,-183.0
192,-115.0
193,-173.0
194,-182.0
195,-69.0
196,-325.0
197,-249.0
198,-393.0
199,-309.0
200,-342.0
201,-401.0
202,-188.0
203,-106.0
204,-123.0
205,-81.0
206,-39.0
207,-315.0
208,-367.0
209,-376.0
210,-249.0
211,-282.0
212,-254.0
213,-80.0
214,-129.0
215,-250.0
216,-14.0
217,-7.0
218,-221.0
219,-424.0
220,-298.0
221,-256.0
222,-329.0
223,-316.0
224,-46.0
225,-209.0
226,-296.0
227,-211.0
228,-252.0
229,-309.0
230,-304.0
231,-186.0
232,-281.0
233,-273.0
234,-152.0
235,-294.0
236,-191.0
237,-167.0
238,-305.0
239,-272.0
240,-167.0
241,-209.0
242,-191.0
243,-189.0
244,-224.0
245,-10.0
246,-105.0
247,-221.0
248,-73.0
249,-145.0
250,-84.0
251,-193.0
252,-49.0
253,-380.0
254,-375.0
255,-203.0
256,-334.0
257,-296.0
258,-207.0
259,-62.0
260,-64.0
261,-136.0
262,-157.0
263,-134.0
264,-99.0
265,-156.0
266,-151.0
267,-48.0
268,-379.0
269,-142.0
270,-290.0
271,-154.0
272,-107.0
273,-293.0
274,-256.0
275,-21.0
276,-155.0
277,-200.0
278,-183.0
279,-346.0
280,-239.0
281,-178.0
282,-226.0
283,-246.0
284,-251.0
285,-317.0
286,-157.0
287,-65.0
288,-244.0
289,-122.0
290,-68.0
291,-67.0
292,-276.0
293,-120.0
294,-258.0
295,-22.0
296,-308.0
297,-208.0
298,-68.0
299,-363.0
