graine,score,invalides
1,-393.0,0
2,-221.0,0
3,-372.0,0
4,-360.0,0
5,-166.0,0
6,-244.0,0
7,-131.0,0
8,-93.0,0
9,-297.0,0
10,-305.0,0
11,-323.0,0
12,-234.0,0
13,-297.0,0
14,-321.0,0
15,-300.0,0
16,-135.0,0
17,-128.0,0
18,-157.0,0
19,-222.0,0
20,-202.0,0
21,-187.0,0
22,-71.0,0
23,-153.0,0
24,-352.0,0
25,-117.0,0
26,-299.0,0
27,-56.0,0
28,-252.0,0
29,-292.0,0
30,-265.0,0
31,-165.0,0
32,-330.0,0
33,-395.0,0
34,-301.0,0
35,-183.0,0
36,-37.0,0
37,-146.0,0
38,-207.0,0
39,-476.0,0
40,-18.0,0
41,-146.0,0
42,-22.0,0
43,-212.0,0
44,-88.0,0
45,-385.0,0
46,-102.0,0
47,-381.0,0
48,-178.0,0
49,-89.0,0
50,-279.0,0
51,-226.0,0
52,-202.0,0
53,-219.0,0
54,-283.0,0
55,-66.0,0
56,-348.0,0
57,-134.0,0
58,-270.0,0
59,-314.0,0
60,-163.0,0
61,-37.0,0
62,-263.0,0
63,-363.0,0
64,-236.0,0
65,-116.0,0
66,-283.0,0
67,-261.0,0
68,-184.0,0
69,-18.0,0
70,-80.0,0
71,-392.0,0
72,-186.0,0
73,-195.0,0
74,-204.0,0
75,-213.0,0
76,-251.0,0
77,-257.0,0
78,-334.0,0
79,-270.0,0
80,-70.0,0
81,-133.0,0
82,-181.0,0
83,-212.0,0
84,-352.0,0
85,-216.0,0
86,-102.0,0
87,-201.0,0
88,-35.0,0
89,-241.0,0
90,-335.0,0
91,-328.0,0
92,-226.0,0
93,-361.0,0
94,-57.0,0
95,-221.0,0
96,-249.0,0
97,-161.0,0
98,-68.0,0
99,-183.0,0
100,-178.0,0
101,-235.0,0
102,-269.0,0
103,-180.0,0
104,-111.0,0
105,-311.0,0
106,-442.0,0
107,-181.0,0
108,-35.0,0
109,-30.0,0
110,-422.0,0
111,-320.0,0
112,-115.0,0
113,-237.0,0
114,-11.0,0
115,-193.0,0
116,-216.0,0
117,-115.0,0
118,-336.0,0
119,-300.0,0
120,-238.0,0
121,-355.0,0
122,-179.0,0
123,-327.0,0
124,-316.0,0
125,-80.0,0
126,-203.0,0
127,-132.0,0
128,-292.0,0
129,-236.0,0
130,-188.0,0
131,-180.0,0
132,-121.0,0
133,-22.0,0
134,-103.0,0
135,-71.0,0
136,-60.0,0
137,-365.0,0
138,-89.0,0
139,-219.0,0
140,-210.0,0
141,-333.0,0
142,-77.0,0
143,-250.0,0
144,-207.0,0
145,-225.0,0
146,-248.0,0
147,-253.0,0
148,-316.0,0
149,-330.0,0
150,-434.0,0
151,-447.0,0
152,-240.0,0
153,-278.0,0
154,-206.0,0
155,-368.0,0
156,-193.0,0
157,-242.0,0
158,-256.0,0
159,-113.0,0
160,-70.0,0
161,-239.0,0
162,-176.0,0
163,-79.0,0
164,-328.0,0
165,-134.0,0
166,-366.0,0
167,-313.0,0
168,-141.0,0
169,-4.0,0
170,-77.0,0
171,-132.0,0
172,-324.0,0
173,-319.0,0
174,-221.0,0
175,-122.0,0
176,-222.0,0
177,-319.0,0
178,-135.0,0
179,-418.0,0
180,-281.0,0
181,-271.0,0
182,-262.0,0
183,-120.0,0
184,-138.0,0
185,-279.0,0
186,-336.0,0
187,-360.0,0
188,-364.0,0
189,-373.0,0
190,-220.0,0
191,-123.0,0
192,-292.0,0
193,-26.0,0
194,-51.0,0
195,-70.0,0
196,-403.0,0
197,-208.0,0
198,-431.0,0
199,-229.0,0
200,-303.0,0
201,-275.0,0
202,-316.0,0
203,-295.0,0
204,-276.0,0
205,-57.0,0
206,-129.0,0
207,-309.0,0
208,-277.0,0
209,-375.0,0
210,-296.0,0
211,-394.0,0
212,-366.0,0
213,-182.0,0
214,-80.0,0
215,-262.0,0
216,-16.0,0
217,-66.0,0
218,-270.0,0
219,-330.0,0
220,-418.0,0
221,-304.0,0
222,-146.0,0
223,-246.0,0
224,-222.0,0
225,-268.0,0
226,-190.0,0
227,-49.0,0
228,-177.0,0
229,-73.0,0
230,-189.0,0
231,-172.0,0
232,-209.0,0
233,-405.0,0
234,-145.0,0
235,-281.0,0
236,-315.0,0
237,-208.0,0
238,-196.0,0
239,-149.0,0
240,-147.0,0
241,-111.0,0
242,-200.0,0
243,-264.0,0
244,-76.0,0
245,-193.0,0
246,-118.0,0
247,-431.0,0
248,-69.0,0
249,-87.0,0
250,-47.0,0
251,-333.0,0
252,-93.0,0
253,-340.0,0
254,-283.0,0
255,-237.0,0
256,-180.0,0
257,-380.0,0
258,-117.0,0
259,-369.0,0
260,-202.0,0
261,-282.0,0
262,-320.0,0
263,-71.0,0
264,-139.0,0
265,-254.0,0
266,-337.0,0
267,-165.0,0
268,-457.0,0
269,-329.0,0
270,-256.0,0
271,-303.0,0
272,-16.0,0
273,-294.0,0
274,-333.0,0
275,-13.0,0
276,-342.0,0
277,-245.0,0
278,-253.0,0
279,-333.0,0
280,-314.0,0
281,-233.0,0
282,-210.0,0
283,-179.0,0
284,-294.0,0
285,-297.0,0
286,-226.0,0
287,-446.0,0
288,-207.0,0
289,-102.0,0
290,-28.0,0
291,-89.0,0
292,-174.0,0
293,-173.0,0
294,-236.0,0
295,-57.0,0
296,-227.0,0
297,-200.0,0
298,-65.0,0
299,-343.0,0
300,-198.0,0
301,-34.0,0
302,-76.0,0
303,-75.0,0
304,-60.0,0
305,-261.0,0
306,-204.0,0
307,-328.0,0
308,-144.0,0
309,-366.0,0
310,-281.0,0
311,-96.0,0
312,-217.0,0
313,-182.0,0
314,-104.0,0
315,-165.0,0
316,-74.0,0
317,-217.0,0
318,-63.0,0
319,-211.0,0
320,-53.0,0
321,-148.0,0
322,-205.0,0
323,-16.0,0
324,-344.0,0
325,-252.0,0
326,-76.0,0
327,-159.0,0
328,-48.0,0
329,-87.0,0
330,-98.0,0
331,-286.0,0
332,-227.0,0
333,-161.0,0
334,-365.0,0
335,-242.0,0
336,-337.0,0
337,-344.0,0
338,-317.0,0
339,-316.0,0
340,-360.0,0
341,-112.0,0
342,-368.0,0
343,-55.0,0
344,-66.0,0
345,-97.0,0
346,-357.0,0
347,-67.0,0
348,-189.0,0
349,-26.0,0
350,-224.0,0
351,-258.0,0
352,-219.0,0
353,-139.0,0
354,-295.0,0
355,-79.0,0
356,-37.0,0
357,-43.0,0
358,-310.0,0
359,-205.0,0
360,-362.0,0
361,-106.0,0
362,-269.0,0
363,-268.0,0
364,-244.0,0
365,-247.0,0
366,-144.0,0
367,-231.0,0
368,-34.0,0
369,-98.0,0
370,-252.0,0
371,-35.0,0
372,-195.0,0
373,-347.0,0
374,-33.0,0
375,-140.0,0
376,-258.0,0
377,-294.0,0
378,-79.0,0
379,-187.0,0
380,-129.0,0
381,-29.0,0
382,-355.0,0
383,-139.0,0
384,-326.0,0
385,-273.0,0
386,-290.0,0
387,-211.0,0
388,-111.0,0
389,-95.0,0
390,-233.0,0
391,-217.0,0
392,-216.0,0
393,-215.0,0
394,-142.0,0
395,-126.0,0
396,-291.0,0
397,-358.0,0
398,-221.0,0
399,-423.0,0
400,-63.0,0
401,-130.0,0
402,-102.0,0
403,-30.0,0
404,-27.0,0
405,-305.0,0
406,-363.0,0
407,-338.0,0
408,-134.0,0
409,-114.0,0
410,-384.0,0
411,-56.0,0
412,-159.0,0
413,-300.0,0
414,-24.0,0
415,-135.0,0
416,-167.0,0
417,-320.0,0
418,-118.0,0
419,-255.0,0
420,-163.0,0
421,-346.0,0
422,-55.0,0
423,-306.0,0
424,-111.0,0
425,-248.0,0
426,-204.0,0
427,-275.0,0
428,-90.0,0
429,-205.0,0
430,-318.0,0
431,-411.0,0
432,-100.0,0
433,-362.0,0
434,-378.0,0
435,-316.0,0
436,-196.0,0
437,-341.0,0
438,-42.0,0
439,-61.0,0
440,-227.0,0
441,-28.0,0
442,-293.0,0
443,-17.0,0
444,-368.0,0
445,-382.0,0
446,-309.0,0
447,-360.0,0
448,-354.0,0
449,-237.0,0
450,-362.0,0
451,-278.0,0
452,-347.0,0
453,-161.0,0
454,-243.0,0
455,-137.0,0
456,-236.0,0
457,-38.0,0
458,-176.0,0
459,-169.0,0
460,-259.0,0
461,-330.0,0
