graine,score
1,-94.0
2,-244.0
3,-379.0
4,-295.0
5,-23.0
6,-256.0
7,-31.0
8,-40.0
9,-193.0
10,-53.0
11,-297.0
12,-45.0
13,-227.0
14,-54.0
15,-159.0
16,-143.0
17,-78.0
18,-379.0
19,-141.0
20,0.0
21,-227.0
22,-434.0
23,-167.0
24,-297.0
25,-65.0
26,-326.0
27,-133.0
28,-324.0
29,-142.0
30,-75.0
31,-95.0
32,-386.0
33,-234.0
34,-308.0
35,-323.0
36,-135.0
37,-285.0
38,-157.0
39,-367.0
40,-57.0
41,-272.0
42,-110.0
43,-117.0
44,-257.0
45,-406.0
46,-336.0
47,-13.0
48,-168.0
49,-279.0
50,-245.0
51,-389.0
52,-362.0
53,-425.0
54,-135.0
55,-196.0
56,-257.0
57,-110.0
58,-2.0
59,-347.0
60,-115.0
61,-252.0
62,-225.0
63,-228.0
64,-246.0
65,-129.0
66,-171.0
67,-124.0
68,-381.0
69,-5.0
70,-93.0
71,-348.0
72,-169.0
73,-199.0
74,-257.0
75,-129.0
76,-268.0
77,-17.0
78,-290.0
79,-267.0
80,-125.0
81,-62.0
82,-338.0
83,-106.0
84,-379.0
85,-289.0
86,-151.0
87,-189.0
88,-94.0
89,-118.0
90,-10.0
91,-138.0
92,-159.0
93,-246.0
94,-98.0
95,-330.0
96,-169.0
97,-251.0
98,-118.0
99,-95.0
100,-287.0
101,-142.0
102,-183.0
103,-353.0
104,-253.0
105,-239.0
106,-440.0
107,-254.0
108,-70.0
109,-72.0
110,-440.0
111,-324.0
112,-266.0
113,-167.0
114,-42.0
115,-170.0
116,-279.0
117,-285.0
118,-308.0
119,-277.0
120,-356.0
121,-326.0
122,-184.0
123,-243.0
124,-207.0
125,-15.0
126,-140.0
127,-36.0
128,-353.0
129,-282.0
130,-244.0
131,-252.0
132,-225.0
133,-116.0
134,-148.0
135,-269.0
136,-19.0
137,-84.0
138,-85.0
139,-205.0
140,-250.0
141,-240.0
142,-230.0
143,-256.0
144,-429.0
145,-258.0
146,-99.0
147,-361.0
148,-331.0
149,-272.0
150,-236.0
151,-407.0
152,-169.0
153,-166.0
154,-294.0
155,-293.0
156,-386.0
157,-218.0
158,-102.0
159,-204.0
160,-68.0
161,-227.0
162,-173.0
163,-168.0
164,-196.0
165,-311.0
166,-128.0
167,-158.0
168,-186.0
169,-67.0
170,-214.0
171,-80.0
172,-262.0
173,-82.0
174,-219.0
175,-139.0
176,-157.0
177,-311.0
178,-49.0
179,-363.0
180,-59.0
181,-95.0
182,-314.0
183,-8.0
184,-55.0
185,-152.0
186,-302.0
187,-378.0
188,-259.0
189,-186.0
190,-168.0
191,-53.0
192,-220.0
