graine,score
1,-319.0
2,-240.0
3,-322.0
4,-192.0
5,0.0
6,-254.0
7,-238.0
8,-158.0
9,-127.0
10,-188.0
11,-287.0
12,-39.0
13,-306.0
14,-147.0
15,-200.0
16,-216.0
17,-210.0
18,-379.0
19,-152.0
20,-317.0
21,-167.0
22,-37.0
23,-163.0
24,-444.0
25,0.0
26,-302.0
27,-15.0
28,-350.0
29,-127.0
30,-80.0
31,-76.0
32,-361.0
33,-253.0
34,-298.0
35,-330.0
36,-207.0
37,-150.0
38,-67.0
39,-348.0
40,-194.0
41,-3.0
42,-188.0
43,-301.0
44,-13.0
45,-354.0
46,-247.0
47,-182.0
48,-171.0
49,-116.0
50,-379.0
51,-247.0
52,-155.0
53,-137.0
54,-81.0
55,-314.0
56,-301.0
57,-345.0
58,-22.0
59,-237.0
60,-143.0
61,0.0
62,-255.0
63,-315.0
64,-286.0
65,-292.0
66,-65.0
67,-219.0
68,-236.0
69,-53.0
70,-52.0
71,-406.0
72,-44.0
73,-165.0
74,-132.0
75,-112.0
76,-295.0
77,-354.0
78,-319.0
79,-58.0
80,-72.0
81,-199.0
82,-108.0
83,-65.0
84,-209.0
85,-270.0
86,-255.0
87,-137.0
88,-189.0
89,-26.0
90,-82.0
91,-176.0
92,-348.0
93,-265.0
94,-20.0
95,-350.0
96,-391.0
97,-214.0
98,-163.0
99,-258.0
100,-317.0
101,-315.0
102,-76.0
103,-366.0
104,-215.0
105,-216.0
106,-374.0
107,-56.0
108,-131.0
109,0.0
110,-397.0
111,-374.0
112,-112.0
113,-196.0
114,-411.0
115,-67.0
116,-95.0
117,-188.0
118,-235.0
119,-280.0
120,-152.0
121,-342.0
122,-149.0
123,-145.0
124,-122.0
125,-206.0
126,-248.0
127,0.0
128,-269.0
129,-183.0
130,-237.0
131,-108.0
132,-348.0
133,-55.0
134,-388.0
135,-286.0
136,-119.0
137,-306.0
138,-164.0
139,-127.0
140,-128.0
141,-189.0
142,-205.0
143,-276.0
144,-263.0
145,-271.0
146,-263.0
147,-269.0
148,-68.0
149,-422.0
150,-434.0
151,-329.0
152,-223.0
153,-237.0
154,-59.0
155,-371.0
156,-242.0
157,-185.0
158,0.0
159,-2.0
160,-258.0
161,-212.0
162,-225.0
163,-70.0
164,-365.0
165,-162.0
166,-319.0
167,-203.0
168,-78.0
169,-370.0
170,-280.0
171,-145.0
172,-261.0
173,-127.0
174,-322.0
175,-79.0
176,-45.0
177,-350.0
178,-134.0
179,-343.0
180,-171.0
181,-371.0
182,-378.0
183,-266.0
184,-234.0
185,-78.0
186,-440.0
187,-360.0
188,-294.0
189,-342.0
190,-201.0
191,-91.0
192,-214.0
193,-200.0
194,-117.0
195,-101.0
196,-375.0
197,-337.0
198,-396.0
199,-229.0
200,-395.0
201,-397.0
202,-365.0
203,-236.0
204,-137.0
205,-65.0
206,-25.0
207,-239.0
208,-28.0
209,-383.0
210,-226.0
211,-241.0
212,-169.0
213,-266.0
214,-227.0
215,-154.0
216,-320.0
217,-17.0
218,-207.0
219,-244.0
220,-298.0
221,-214.0
222,-326.0
223,-164.0
224,-114.0
225,-168.0
226,-369.0
227,-107.0
228,-209.0
229,-106.0
230,-95.0
231,-217.0
232,-368.0
233,-376.0
234,-61.0
235,-371.0
236,-52.0
237,-168.0
238,-134.0
239,-363.0
240,-155.0
241,-308.0
242,-245.0
243,-335.0
244,-198.0
245,-25.0
246,-278.0
247,-237.0
248,-326.0
249,-28.0
250,-51.0
251,-198.0
252,-202.0
253,-100.0
254,-331.0
255,-262.0
256,-187.0
257,-251.0
258,-135.0
259,-56.0
260,-107.0
261,-320.0
262,-189.0
263,-310.0
264,-42.0
265,-352.0
266,-247.0
267,-94.0
268,-347.0
269,-297.0
270,-236.0
271,-391.0
272,-315.0
273,-157.0
274,-315.0
275,-310.0
276,-59.0
277,-208.0
278,-174.0
279,-328.0
280,-320.0
281,-399.0
282,-134.0
283,-224.0
284,-162.0
285,-320.0
286,-79.0
287,-120.0
288,-139.0
289,-279.0
290,0.0
291,-11.0
292,-100.0
293,-101.0
294,-216.0
295,-331.0
296,-286.0
297,-147.0
298,-69.0
299,-305.0
300,-117.0
301,-5.0
302,-111.0
303,-153.0
304,-147.0
305,-146.0
306,-297.0
307,-307.0
308,-282.0
309,-53.0
310,-165.0
311,-172.0
312,-20.0
313,-286.0
314,-188.0
315,-145.0
316,-70.0
317,-195.0
318,0.0
319,-43.0
320,-257.0
321,-69.0
322,-291.0
323,-173.0
324,-453.0
325,-264.0
326,-299.0
327,-72.0
328,-151.0
329,-360.0
330,-31.0
331,-309.0
332,-437.0
333,-289.0
334,-362.0
335,-59.0
336,-205.0
337,-120.0
338,-416.0
339,-388.0
340,-295.0
341,-172.0
342,-326.0
343,-56.0
344,-61.0
345,-187.0
346,-172.0
347,0.0
348,-181.0
349,-58.0
350,-89.0
351,-384.0
352,-167.0
353,-69.0
354,-47.0
355,-152.0
356,-72.0
357,-190.0
358,-323.0
359,-56.0
360,-241.0
361,-88.0
362,-358.0
363,-433.0
364,-292.0
365,-20.0
366,0.0
367,-319.0
368,-131.0
369,-38.0
370,-21.0
371,-187.0
372,-126.0
373,-279.0
374,-227.0
375,-82.0
376,-273.0
377,-298.0
378,0.0
379,-79.0
380,-307.0
381,-151.0
382,-309.0
383,-217.0
384,-411.0
385,-221.0
386,-266.0
387,-346.0
388,0.0
389,-237.0
390,0.0
391,-46.0
392,-92.0
393,-323.0
394,-67.0
395,-59.0
396,-154.0
397,-232.0
398,-234.0
399,-354.0
400,-31.0
401,-61.0
402,-341.0
403,-83.0
404,-367.0
