scenario,decideur,run,cat_executee,cat_intention,actions_executees,actions_intention
1_compromission_hors_critique,regle,1,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,2,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,3,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,4,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,5,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,6,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,7,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,8,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,9,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,10,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,11,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,12,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,13,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,14,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,15,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,16,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,17,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,18,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,19,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,20,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,21,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,22,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,23,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,24,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,25,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,26,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,27,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,28,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,29,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
1_compromission_hors_critique,regle,30,correct,correct,isolate_pod:app-frontend-0,isolate_pod:app-frontend-0
2_session_pdu_suspecte,regle,1,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,2,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,3,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,4,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,5,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,6,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,7,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,8,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,9,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,10,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,11,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,12,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,13,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,14,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,15,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,16,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,17,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,18,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,19,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,20,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,21,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,22,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,23,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,24,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,25,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,26,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,27,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,28,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,29,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
2_session_pdu_suspecte,regle,30,correct,correct,terminate_5g_session:0x7a8b9c,terminate_5g_session:0x7a8b9c
